Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,% Change over last 8 minutes,Double Derivative,Total Profit $
Up,,,8272.94,,,0,
Down,,,-0.0100000000002183,,,0,0
Up,,,0.0100000000002183,,,2.41752171392662E-06,0
Down,,,-0.0100000000002183,,,-2.41752171392662E-06,0
Up,,,0.0100000000002183,,,2.41752171392662E-06,0
Up,,,0.0100000000002183,,,-1.46105350040671E-12,0
Up,,,0.0499999999992724,,,4.8350331998126E-06,0
Up,,,0.489999999999782,,,5.31850233060904E-05,0
Up,,,3.55999999999949,,,0.000371061181904997,0
Down,,,-0.00999999999839929,,,-0.000431498158449228,0
Up,,,0.00999999999839929,,,2.41632128350489E-06,0
Down,,,-0.00999999999839929,,,-2.41632128350489E-06,0
Up,,,0.00999999999839929,,,2.41632128350489E-06,0
Down,,,-0.00999999999839929,,,-2.41632128350489E-06,0
Up,,,0.00999999999839929,,,2.41632128350489E-06,0
Down,,,-10.2799999999988,,,-0.00124319655095473,0
Down,,,-0.56000000000131,,,0.00117424730086269,0
Down,,,-1.92999999999847,,,-0.000165739551137301,0
Down,,,-1.06000000000131,,,0.000105217802683577,0
Down,,,-3.38999999999942,,,-0.000281988856475457,0
Up,,,0.0100000000002183,,,0.000411462372319815,0
Up,,,0.0900000000001455,,,9.68541616952479E-06,0
Up,,,0.559999999999491,,,5.69010898820999E-05,0
Up,,,3.51000000000022,,,0.000357117075812319,0
Up,,,13.0499999999993,,,0.00115422417121791,0
Down,,,-3.30999999999949,,,-0.00197903936263921,0
Down,,,-0.739999999999782,,,0.000310461330416345,0
Down,,,-4.48999999999978,,,-0.000453289760099729,0
Down,,,-1.23999999999978,,,0.000392762800694557,0
Down,,,-4.04000000000087,,,-0.00033870745222242,0
Down,,,-13.2299999999996,,,-0.00111239481933911,0
Up,,,0.3700000000008,,,0.00164591731628605,0
Up,,,0.00999999999839929,,,-4.36364179958737E-05,0
Down,,,-0.00999999999839929,,,-2.42413223616733E-06,0
Down,,,-2.43000000000029,,,-0.000293320179837075,0
Down,,,-8.94000000000051,,,-0.000789374766712148,0
Up,,,0.0100000000002183,,,0.00108512075146427,0
Down,,,-0.0100000000002183,,,-2.42747758993911E-06,0
Up,0.00702266091413283,-0.266542363626008,0.0100000000002183,,,2.42747758993911E-06,0
Down,-0.0871659997986196,-0.335737047173908,-0.0100000000002183,,,-2.42747758993911E-06,0
Up,-0.177943853815423,-0.432853964453822,0.0100000000002183,,,2.42747758993911E-06,0
Down,-0.184629677013514,-0.431826608806552,-7.68000000000029,,,-0.000933364568332595,0
Up,-0.203474892519521,-0.429638754061765,0.0100000000002183,,,0.000933365699301913,0
Down,-0.29049360758708,-0.613333683073248,-0.309999999999491,,,-3.8875810274841E-05,0
Down,-0.299741174013652,-0.615764287554015,-5.01000000000022,,,-0.000571011364907226,0
Down,-0.318729629855334,-0.609984763045258,-2.98999999999978,,,0.000245191544848367,0
Down,-0.329881778675081,-0.612895681913623,-3.03000000000065,,,-4.99655327446114E-06,0
Down,-0.3484523332127,-0.643534073348902,-1.43000000000029,,,0.000194511376367612,0
Up,-0.365066890586021,-0.645876828632834,0.0100000000002183,,,0.000175182693426201,0
Down,-0.393121608638361,-0.643914915340871,-6.07999999999993,,,-0.000741003921865935,0
Up,-0.444506957324184,-0.616813549353925,0.0100000000002183,-0.0191551200258162,-0.0286201250826956,0.00074100482119166,0
Up,-0.444217095838137,-0.61624750180292,2.75,-0.0174835446273806,-0.0217195001222809,0.000333637339598125,0
Up,-0.373539330625266,7.36338311455114,2.11000000000058,-0.0162501887755506,-0.0184472774373846,-7.8015893743677E-05,0
Up,-0.354320615345939,7.54734939800862,0.18999999999869,-0.0158176613748621,-0.0114273434624063,-0.000233717348799845,0
Up,-0.343420584145192,7.54734939800862,1.02000000000044,-0.0142908724331089,-0.00600950795355271,0.000101002682897144,0
Up,-0.324110235634628,7.58496027459529,6.28000000000065,-0.0125689410871441,0.00657493185094079,0.000639997833333128,0
Up,-0.320019088877333,7.58935429821744,7.5,-0.01024452157111,0.0150361349111316,0.000147747355231376,0
Down,0.188954447619505,15.6487434710206,-0.0100000000002183,-0.00899524014846981,0.0186127550296135,-0.000913084343029613,0
Down,0.192878304214848,15.6498310618743,-4.59000000000015,-0.010225777169023,0.0206375405394415,-0.000556341750793776,0
Down,0.197874879263235,15.6512230499312,-0.0500000000010914,-0.0102704431768843,0.0205564889376656,0.00055147948114731,0
Down,0.212415054938049,15.6502157156847,-8.71999999999935,-0.013237891488014,0.00790250830882466,-0.00105375618535986,0
Up,0.260036646028277,15.649333519815,0.0100000000002183,-0.0143528850828178,0.00456612529780798,0.00106104986801614,0
Down,0.371539808375906,15.9831631389149,-0.0100000000002183,-0.0139879821141002,0.0019855673488578,-2.43338753702638E-06,0
Up,0.503260431544297,7.68162674744865,0.0100000000002183,-0.0180339352865191,0.00176651676327633,2.43338753702638E-06,0
Down,0.276234855093678,5.70867596924265,-0.0100000000002183,-0.0172239761142442,-0.00792013024402004,-2.43338753702638E-06,0
Up,0.1247716492561,-0.279313713878423,0.0100000000002183,-0.016779215971549,-0.00711595027453105,2.43338753702638E-06,0
Down,0.12593329056638,-0.279646314259066,-0.0100000000002183,-0.01539072195221,-0.0162468134500993,-2.43338753702638E-06,0
Up,0.0436519933795531,-0.0820525924531197,0.0100000000002183,-0.0101660958471387,-0.0118299273633913,2.43338753702638E-06,0
Down,-0.0659306180392731,-0.177843924676544,-0.0100000000002183,-0.0105798130782523,-0.0117759240842884,-2.43338753702638E-06,0
Up,-0.134334733345753,-0.265581226709371,0.0100000000002183,-0.00964475759477164,-0.0105861647307726,2.43338753702638E-06,0
Down,-0.132507919923689,-0.260814996441103,-0.0100000000002183,-0.00976287343548155,7.40185690517592E-11,-2.43338753702638E-06,0
Up,0.0589521090817709,0.0382488449403834,0.0100000000002183,-0.00949127486912887,1.35188936687156E-05,2.43338753702638E-06,0
Down,0.0948809241231494,0.297707387462317,-0.0100000000002183,-0.0067508197839023,-1.35187456315775E-05,-2.43338753702638E-06,0
Up,0.0833945596356135,0.303581157549044,0.0100000000002183,-0.00674406858232705,1.35188936687156E-05,2.43338753702638E-06,0
Up,0.771292395878013,2.1956333265785,0.489999999999782,-0.00435548376803707,0.000760433216737133,5.84012638804587E-05,0
Up,0.828889713720878,3.801823201891,7.71999999999935,-0.00146493711942034,0.0124856123209949,0.000879613064460161,0
Up,0.854340074102457,3.801823201891,2.79000000000087,-0.000471102598409108,0.0148663065924919,-0.000600112415204634,0
Down,0.960724065687996,4.13766170583287,-0.0100000000002183,-0.000363908854452438,0.0167094065626899,-0.000340333674473392,0
Up,0.96891680389859,4.44216145349254,0.0100000000002183,0.00142987753668369,0.0167398035793576,2.43013513379076E-06,0
Down,0.64315963905316,4.11729144449819,-11.0100000000002,0.000169668105563792,2.23766835061312E-06,-0.00133900364667694,0
Up,0.576800232264537,3.97543425706872,0.0100000000002183,0.000169667911258109,3.26550125634428E-05,0.00133900527288056,0
Down,0.54635998106155,3.90727639006477,-0.0100000000002183,0.00247770063673027,2.23766835061312E-06,-2.43338753702638E-06,0
Up,0.409207296502657,3.66858574519283,0.0100000000002183,0.00240630575231025,-0.000727778130155121,2.43338753702638E-06,0
Down,-0.527276285317199,-0.374482923248183,-0.0100000000002183,0.00142747360503577,-0.0124833745786257,-2.43338753702638E-06,0
