Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,% Change over last 8 minutes,Total Profit $
Up,,,8681.21,,,
Down,,,-0.00999999999839929,,,0
Up,,,0.00999999999839929,,,0
Down,,,-0.00999999999839929,,,0
Up,,,0.00999999999839929,,,0
Down,,,-0.00999999999839929,,,0
Up,,,0.00999999999839929,,,0
Down,,,-4.91999999999825,,,0
Up,,,0.00999999999839929,,,0
Down,,,-9.31999999999971,,,0
Up,,,0.0100000000002183,,,0
Down,,,-6.98999999999978,,,0
Down,,,-5,,,0
Down,,,-5,,,0
Up,,,0.0100000000002183,,,0
Up,,,1.77000000000044,,,0
Down,,,-1.77000000000044,,,0
Up,,,1.77000000000044,,,0
Up,,,1.21999999999935,,,0
Up,,,1.98999999999978,,,0
Up,0.147391238095662,0.826325470762558,0.0100000000002183,,,0
Down,0.186211304766209,0.909049425546316,-0.0100000000002183,,,0
Up,0.130403417486362,0.772842497405216,0.0100000000002183,,,0
Up,-0.131208227311674,0.221709971753169,0.0100000000002183,,,0
Up,1.81355986509387,28.3647795899411,3.21999999999935,,,0
Up,2.51505232504018,3.23457395704368,1.77000000000044,,,0
Up,2.57604418819668,3.23457395704368,9.97999999999956,,,0
Down,0.966646579228726,3.48764360385699,-0.0100000000002183,,,0
Up,0.999480449271848,3.48764360385699,0.0500000000010914,,,0
Up,1.18029233765918,14.4838411671576,6.23999999999978,,,0
Up,1.17325050990971,14.4867815340445,1.17000000000007,,,0
Down,1.1417956695002,14.507849528849,-1.18000000000029,,,0
Down,1.05160093998178,14.6070353869035,-0.0100000000002183,,,0
Up,0.964082506673241,14.7359062440226,0.0100000000002183,,,0
Up,0.854593130280108,14.7691423223954,1.18000000000029,,,0
Down,0.716177562971289,14.3982258066665,-0.0100000000002183,,,0
Up,0.63040360252707,14.0255792856099,0.0100000000002183,,,0
Up,0.67448996439346,33.0330417194661,2.56999999999971,,,0
Up,0.736631865941664,50.7520888426891,5.43000000000029,,,0
Down,0.72892182135672,50.7288530615999,-0.0100000000002183,,,0
Up,0.243790530449688,24.205004175195,0.0300000000006548,,,0
Up,0.2454626187509,22.6021635047807,2.89999999999964,,,0
Up,0.257590200640891,15.137792470697,5.60999999999876,,,0
Up,0.221161993484038,22.2765778957982,0.0200000000004366,,,0
Up,0.389681089641913,11.9939580816923,4.64999999999964,,,0
Down,0.462521859515402,11.3305071239484,-0.00999999999839929,,,0
Up,0.357297989393765,11.3262734558937,0.0299999999988358,,,0
Up,0.31900232211141,11.3258083527691,0.360000000000582,,,0
Up,-0.00903001798150675,1.46950742420805,0.489999999999782,,,0
Up,-0.00443842419366356,1.47797507304946,0.5,,,0
Down,0.139332687394492,1.78253184979306,-0.0100000000002183,,,0
Up,0.171897418083302,1.85867749851515,0.0100000000002183,-0.01519045010305,-0.0155793113521544,0
Up,0.441018834231904,13.8623006881773,5,-0.0143970023429345,-0.0151723542813307,0
Up,0.460723699541191,13.8623006881773,4.97999999999956,-0.0176277058784258,-0.01760835927441,0
Up,0.453268301906833,14.5104844908172,4.01000000000022,-0.0208123582315305,-0.0186290841847397,0
Up,0.402876717809638,14.5104844908172,0.0100000000002183,-0.0233636859915164,-0.019369896539392,0
Down,-0.0485384721632622,13.9825756159019,-0.0100000000002183,-0.0210388173733522,-0.017920127904833,0
Up,-0.0684691921476175,13.9436199661474,0.0100000000002183,-0.0205752254705503,-0.0184890796732857,0
Up,-0.63183226645108,0.0511483648916282,0.0100000000002183,-0.0172887599077076,-0.017886894245993,0
Up,-0.546213636728508,0.545695565292702,0.549999999999272,-0.0173008595502487,-0.0183734253804099,0
Up,-0.199627253925729,13.842792518242,6.14999999999964,-0.0167385236818807,-0.0190527037152323,0
Up,-0.192711337595078,14.2463508165891,5.54000000000087,-0.0180626887486069,-0.0199663434347649,0
Up,-0.183233716235196,15.160613204296,4.75,-0.0186533741827213,-0.0184887561025923,0
Up,-0.198224697467492,15.3303522706052,17,-0.0218621049407449,-0.0200472933247212,0
Down,-0.202436563810995,15.3252732567988,-0.0100000000002183,-0.031464682994439,-0.0255939163716629,0
Up,-0.212514462362998,15.4196153516111,0.889999999999418,-0.0314391722091961,-0.0248797989212636,0
Down,-0.213653397539359,15.5638791241444,-0.8799999999992,-0.0317744606760755,-0.0231631770689676,0
Up,-0.217089265646389,15.6872593719169,0.0100000000002183,-0.0309027242749159,-0.0225091908634777,0
Up,-0.219598901200511,15.7937776079247,0.869999999998981,-0.0305897717800442,-0.02289010220158,0
Down,-0.224153114164856,15.927726236483,-0.00999999999839929,-0.0295032111046224,-0.0215892184703929,0
Up,-0.23760337666154,15.975641769834,0.00999999999839929,-0.0295032449037818,-0.0219440657331368,0
Down,-0.405776900391515,7.51539185585423,-0.00999999999839929,-0.0266933814818317,-0.0215677982709614,0
Up,-0.410953592160786,7.11303525877731,0.00999999999839929,-0.0280223355320819,-0.020846862449746,0
Down,-0.470894646469444,3.07226321203225,-0.00999999999839929,-0.0251544873374587,-0.0203411902064681,0
Up,-0.48977100552383,2.38003527011272,0.00999999999839929,-0.0222883472771446,-0.0203412135436106,0
Down,-0.497194961634539,2.23930895805736,-0.00999999999839929,-0.0228677157672643,-0.0186452341424284,0
Up,-0.524084414635308,1.97392177705269,0.00999999999839929,-0.0202621338942514,-0.0182283555982697,0
Down,-0.544025208698451,1.86487833303613,-0.00999999999839929,-0.0181746411291822,-0.0189569103612278,0
Up,-0.552145137451876,1.81769292642435,0.00999999999839929,-0.0181642293865762,-0.0185331056788736,0
