Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,% Change over last 8 minutes,Double Derivative,Total Profit $
Up,,,8240.02,,,0,
Up,,,0.0100000000002183,,,0,0
Down,,,-0.0100000000002183,,,-2.42717710219331E-06,0
Up,,,0.0100000000002183,,,2.42717710219331E-06,0
Up,,,0.519999999998618,,,6.18929770719312E-05,0
Down,,,-0.00999999999839929,,,-6.43200775932717E-05,0
Up,,,0.00999999999839929,,,2.42702394037675E-06,0
Up,,,0.450000000000728,,,5.33944928271524E-05,0
Down,,,-0.0100000000002183,,,-5.58214505039789E-05,0
Up,,,0.0100000000002183,,,2.42689141294328E-06,0
Up,,,4.54999999999927,,,0.00055090401503044,0
Up,,,0.470000000001164,,,-0.000495117018809887,0
Down,,,-0.0100000000002183,,,-5.8213148914299E-05,0
Up,,,0.0100000000002183,,,2.42541397288409E-06,0
Down,,,-0.0100000000002183,,,-2.42541397288409E-06,0
Up,,,4.11999999999898,,,0.00050084828758068,0
Down,,,-0.00999999999839929,,,-0.000500847683441719,0
Up,,,0.0499999999992724,,,7.27262001964935E-06,0
Up,,,4.6200000000008,,,0.000553927942936516,0
Down,,,-0.0100000000002183,,,-0.000561199878699625,0
Up,,,0.0100000000002183,,,2.42283717866165E-06,0
Down,,,-0.0100000000002183,,,-2.42283717866165E-06,0
Up,,,0.0100000000002183,,,2.42283717866165E-06,0
Down,,,-0.0100000000002183,,,-2.42283717866165E-06,0
Down,,,-4.6200000000008,,,-0.000558464309420081,0
Up,,,0.0100000000002183,,,0.000560887824980538,0
Down,,,-0.0499999999992724,,,-7.27257888277766E-06,0
Down,,,-0.1200000000008,,,-8.48476180048685E-06,0
Down,,,-9.98999999999978,,,-0.00119636384793065,0
Down,,,-0.0100000000002183,,,0.00120969550014882,0
Up,,,0.0100000000002183,,,2.4271829931477E-06,0
Down,,,-0.0100000000002183,,,-2.4271829931477E-06,0
Up,,,0.0100000000002183,,,2.4271829931477E-06,0
Up,,,0.0399999999990541,,,3.6407708077224E-06,0
Up,,,3.28000000000065,,,0.000393201473999349,0
Down,,,-0.0100000000002183,,,-0.000399268939026753,0
Up,,,0.0100000000002183,,,2.42620544510519E-06,0
Up,,,1.85000000000036,,,0.000223210764080717,0
Up,,,4.80999999999949,,,0.000358947265656218,0
Up,,,1.34000000000015,,,-0.000420946693892921,0
Up,,,3.67000000000007,,,0.000282352342137804,0
Up,,,0.389999999999418,,,-0.000397532686952085,0
Down,,,-0.0100000000002183,,,-4.84554242980995E-05,0
Up,,,0.0100000000002183,,,2.42266108729794E-06,0
Up,,,3.61000000000058,,,0.000436078730125189,0
Down,,,-0.0100000000002183,,,-0.000438500861741575,0
Up,,,0.0100000000002183,,,2.42160214414255E-06,0
Down,,,-0.0100000000002183,,,-2.42160214414255E-06,0
Up,,,0.0100000000002183,,,2.42160214414255E-06,0
Down,,,-0.0100000000002183,,,-2.42160214414255E-06,0
Up,,,0.0100000000002183,0.00418866791969805,0.0135680741659467,2.42160214414255E-06,0
Down,,,-0.0100000000002183,0.00433758747659856,0.00838865063199292,-2.42160214414255E-06,0
Up,,,0.0100000000002183,0.00426399361855927,0.00779810988545801,2.42160214414255E-06,0
Down,,,-0.0100000000002183,0.00425950400813962,0.0066292867451618,-2.42160214414255E-06,0
Up,,,0.0100000000002183,0.00414488222192777,0.0033637697707649,2.42160214414255E-06,0
Down,,,-0.0100000000002183,0.00464602347773169,0.00363399390327553,-2.42160214414255E-06,0
Up,,,0.0100000000002183,0.00464601785084314,7.32969240857528E-11,2.42160214414255E-06,0
Up,,,0.409999999999854,0.00357692285600691,0.000423780191956732,4.84320120950343E-05,0
Down,,,-0.0100000000002183,0.00455522543584048,0.000403600674960443,-5.08535541345889E-05,0
Up,,,0.0100000000002183,0.00338365271067911,0.000423780191956732,2.42148193496661E-06,0
Down,,,-0.0100000000002183,0.00335988600710935,0.000403600674960443,-2.42148193496661E-06,0
Up,,,0.0100000000002183,0.00338365271066917,0.000423780191956732,2.42148193496661E-06,0
Down,-0.358216985253607,1.27447686238951,-0.0100000000002183,0.0012720063844744,0.000451298921221411,-2.42148193496661E-06,0
Up,-0.349398220080859,1.8946205159058,0.600000000000364,0.00143986074783265,0.00110069619592146,7.38552422565597E-05,0
