Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,% Change over last 8 minutes,Total Profit $
Up,,,9564.99,,,
Up,,,0.0100000000002183,,,0
Up,,,1.31999999999971,,,0
Up,,,0.0200000000004366,,,0
Up,,,0.399999999999636,,,0
Up,,,0.0200000000004366,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.229999999999563,,,0
Up,,,0.0100000000002183,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,,,0
Up,,,3.01000000000022,,,0
Up,,,0.100000000000364,,,0
Up,,,6.13999999999942,,,0
Down,,,-0.0100000000002183,,,0
Up,,,13.3700000000008,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,,,0
Down,,,-0.0100000000002183,,,0
Up,,,8.18000000000029,,,0
Down,,,-2.55000000000109,,,0
Up,,,0.0100000000002183,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,,,0
Up,,,4.77000000000044,,,0
Up,,,9.95999999999913,,,0
Up,,,4.94000000000051,,,0
Down,,,-2.72999999999956,,,0
Up,,,1.78999999999905,,,0
Down,,,-1.88999999999942,,,0
Down,,,-0.0100000000002183,,,0
Up,,,1.89000000000124,,,0
Up,,,0.00999999999839929,,,0
Up,,,0.0300000000006548,,,0
Up,,,1.01000000000022,,,0
Down,,,-0.0100000000002183,,,0
Down,,,-0.949999999998909,,,0
Down,,,-5.16000000000167,,,0
Up,,,1.25,,,0
Down,,,-0.0599999999994907,,,0
Down,,,-0.0599999999994907,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,,,0
Up,,,4.98999999999978,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,,,0
Down,,,-0.0100000000002183,,,0
Up,,,0.0100000000002183,-0.0114377496234873,-0.0117530757605684,0
Up,,,0.0100000000002183,-0.011927638746429,-0.0116471675555424,0
Down,0.273226409054057,3.24094307934933,-0.0100000000002183,-0.0119276263170709,-0.0108614666994038,0
Up,0.396330077590683,3.22168124546906,0.0100000000002183,-0.0125240206809923,-0.00953622071217115,0
Down,0.732153774651245,8.25214364618158,-0.0100000000002183,-0.0120384090752361,-0.00898258456025294,0
Up,0.65559170891778,8.01504695230955,0.0100000000002183,-0.0109268995582363,-0.00719909924392487,0
Down,0.693113248161183,16.9383739070564,-0.0100000000002183,-0.00735797327147249,-0.00741925838490223,0
Up,0.505964467614458,31.6189293751481,0.0100000000002183,-0.00756522953177883,-0.00730707964293277,0
Down,0.408109649401243,29.763898909557,-0.0100000000002183,-0.00644233993507617,-0.00877926020215527,0
Up,-0.213657727979769,3.51753693041897,0.0100000000002183,-0.0064358329784877,-0.00877596591179519,0
Down,-0.246780062454861,16.8193667874509,-0.0100000000002183,-0.0062439593779327,-0.0085091291206596,0
Up,-0.244175959350762,25.9540903885562,0.0100000000002183,-3.48210975759637E-05,-0.00795341004284047,0
Down,0.0697416045915535,42.1550737086821,-0.0100000000002183,-0.000954093200449831,-0.00808335991480525,0
Up,0.11499651392552,42.1550737086821,0.0100000000002183,-0.00105564165197178,-0.00863725565884853,0
Down,0.493660242282807,42.1550737086821,-0.0100000000002183,-0.00102392040224516,-0.00849261542949744,0
Up,0.670020342775548,42.1550737086821,0.0100000000002183,-0.000374027375413351,-0.00809299915268488,0
Up,1.03375624821803,42.0403667703014,7.98999999999978,-0.000366853510840468,-0.00807677625752547,0
Up,1.06636713675747,41.8578159734863,0.409999999999854,-0.00297630249284562,-0.0100086550641058,0
Up,1.16047824793981,41.3432139826354,1.59000000000015,-0.0030205894960075,-0.0101618073507712,0
Up,1.27269497456037,40.5711101804538,15,-0.00393102450961343,-0.00829029657826456,0
Up,1.28917025418123,40.6332245440641,2.23999999999978,-0.0111557024843545,-0.0137621666725906,0
Down,1.31883299074969,41.7463452087345,-0.0100000000002183,-0.0115083822888262,-0.0145738288680373,0
Up,1.41590709865597,44.8641105337822,0.0100000000002183,-0.0115263350767158,-0.0143207776626217,0
Up,1.44414268194461,45.346213476625,0.75,-0.0115514404400512,-0.01285544306826,0
Up,1.47035308316135,45.6208875371524,10.1200000000008,-0.0118232450521813,-0.0135799468388757,0
Up,1.77239521776251,44.2376104320459,5.06999999999971,-0.0154385086364286,-0.0157642562927808,0
Up,1.8158691152598,43.4567409698332,6.81999999999971,-0.0154590917169261,-0.0175036952506662,0
Down,1.82186024247391,43.0689783766782,-0.0100000000002183,-0.0178976338642604,-0.0195989413933026,0
Up,1.84559769731438,41.797652720524,10.0100000000002,-0.0172975971982899,-0.018472816937672,0
Down,1.88534851152952,41.7691409841267,-0.0200000000004366,-0.020746453326738,-0.0198880929261036,0
Up,1.89262945517775,41.3071409841267,1.47000000000116,-0.020743029520535,-0.016427049706406,0
Up,1.88948007086112,40.5893909841266,2.46999999999935,-0.0212460237068594,-0.0170194593101095,0
Up,1.88900015434498,40.1274519863053,1.07999999999993,-0.0220934199074089,-0.0175616803919759,0
Up,1.90157010468978,39.5416424624958,0.780000000000655,-0.022468829033286,-0.0179619061578963,0
Up,1.91157156657307,39.5041632788902,4.79999999999927,-0.0227339572692694,-0.0184002337989688,0
Up,1.87440275168891,37.2146602079801,2.42000000000007,-0.0243901834560933,-0.0179761681703082,0
Up,1.81736390529899,34.3789458194174,0.8799999999992,-0.0252195698889361,-0.0179319222607408,0
Down,1.74659757240095,32.2246620290129,-0.00999999999839929,-0.0255258167622356,-0.0170526062598851,0
Up,1.72609236712472,32.2674712166515,0.00999999999839929,-0.0255189095867681,-0.0168757982629847,0
Down,1.66228417317518,32.409673747299,-0.00999999999839929,-0.0255258167621808,-0.0151548105706373,0
Up,0.444063794448928,12.1612745168487,0.00999999999839929,-0.0255189095867133,-0.0153194889311438,0
Down,-0.126859025949535,4.05851068825278,-0.00999999999839929,-0.0264024309897796,-0.0160194986441056,0
Up,-0.368593474974092,1.52582312317717,0.00999999999839929,-0.0273416888389852,-0.0149177792764991,0
Down,-0.392658360312045,0.424789462872971,-0.00999999999839929,-0.0273490893840703,-0.0148577889851381,0
Up,-0.407986128752439,-0.16331786301233,0.00999999999839929,-0.0273416888389265,-0.014599934233266,0
Up,-0.401598241183872,-0.197199149242783,1.1200000000008,-0.024377545041215,-0.0143492420640001,0
Down,-0.381467528888026,-0.117062898993953,-0.0100000000002183,-0.024638224257221,-0.0150164647595402,0
Up,-0.36989719911206,-0.117062898993953,0.0100000000002183,-0.024044459647323,-0.0140837034457795,0
Up,-0.345996369664419,-0.117062898993953,3.97999999999956,-0.0232188989450325,-0.0138420665909758,0
Up,-0.338735909462578,-0.00924804049692127,0.909999999999854,-0.0191193096590282,-0.0152832200938385,0
Up,-0.334600201731829,0.0493724007351272,1.32999999999993,-0.0187837220574219,-0.0153452084126528,0
