Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,% Change over last 8 minutes,Double Derivative,Total Profit $
Up,,,8093,,,0,
Up,,,0.61,,,0,0
Down,,,-0.01,,,-7.66E-05,0
Up,,,0.01,,,2.47E-06,0
Down,,,-0.01,,,-2.47E-06,0
Up,,,0.01,,,2.47E-06,0
Down,,,-0.01,,,-2.47E-06,0
Up,,,0.01,,,2.47E-06,0
Down,,,-0.01,,,-2.47E-06,0
Up,,,0.01,,,2.47E-06,0
Down,,,-0.01,,,-2.47E-06,0
Up,,,0.01,,,2.47E-06,0
Down,,,-4.46,,,-0.000552288,0
Down,,,-2,,,0.000303807,0
Down,,,-4.06,,,-0.000254786,0
Down,,,-0.74,,,0.000410482,0
Down,,,-0.01,,,9.03E-05,0
Up,,,0.01,,,2.47E-06,0
Down,,,-0.01,,,-2.47E-06,0
Up,-0.158736846,2.357629462,0.01,,,2.47E-06,0
Down,-0.081612903,2.681019722,-0.01,,,-2.47E-06,0
Up,-0.034331604,3.160765173,0.01,,,2.47E-06,0
Down,0.128998055,4.890592339,-0.01,,,-2.47E-06,0
Up,0.140554889,4.998352444,0.01,,,2.47E-06,0
Down,0.146897205,5.152333677,-0.01,,,-2.47E-06,0
Up,0.234875704,5.168443782,0.01,,,2.47E-06,0
Down,0.367198294,4.578376915,-0.01,,,-2.47E-06,0
Up,0.331534118,4.374886372,0.01,,,2.47E-06,0
Down,0.281100345,4.096025938,-0.01,,,-2.47E-06,0
Up,0.253678925,3.78256815,0.01,,,2.47E-06,0
Down,0.273393727,3.555020505,-0.01,,,-2.47E-06,0
Up,0.261654474,3.218373217,0.01,,,2.47E-06,0
Down,0.000572186,2.097407068,-0.01,,,-2.47E-06,0
Up,0.086204667,3.061889274,0.01,,,2.47E-06,0
Down,0.072686016,3.349216326,-0.01,,,-2.47E-06,0
Up,0.084444679,4.722573229,0.01,,,2.47E-06,0
Down,-0.186347407,2.412834541,-0.01,,,-2.47E-06,0
Up,-0.209422632,2.139454479,0.01,,,2.47E-06,0
Down,-0.332464428,0.238461449,-0.01,,,-2.47E-06,0
Up,-0.309388452,0.559856479,0.01,,,2.47E-06,0
Down,-0.301324443,0.685470355,-0.01,,,-2.47E-06,0
Up,-0.289113461,0.825588159,0.01,,,2.47E-06,0
Up,-0.153925194,2.653630242,2.65,,,0.000326638,0
Up,-0.149646202,2.666919824,5.16,,,0.000310344,0
Up,-0.133504167,3.519011129,0.56,,,-0.000568999,0
Up,-0.05027242,3.519011129,4.32,,,0.000464725,0
Up,-0.038025415,3.519011129,1.42,,,-0.000358529,0
Up,-0.028431553,3.568506868,1.35,,,-8.68E-06,0
Up,0.042209901,4.535998641,1.09,,,-3.21E-05,0
Up,0.083286602,4.978983975,1.1,,,1.22E-06,0
Up,0.114804392,5.200817724,0.14,0.010472017,0.012597295,-0.000118537,0
Up,0.134682831,5.200817724,1.57,0.010877034,0.01296545,0.00017654,0
Up,0.149268679,5.200817724,3.28,0.012722898,0.017552088,0.000211029,0
Up,0.174961787,8.013997365,0.01,0.012722882,0.01479366,-0.000403619,0
Up,0.193483818,8.057751281,1.47,0.012423503,0.01557308,0.000180136,0
Up,0.204252032,8.057751281,5.53,0.015260728,0.024678918,0.000500802,0
Up,0.207210798,8.057751281,3.91,0.017274225,0.032424218,-0.000200169,0
Up,0.209887492,8.215938165,3.6,0.01764673,0.036586707,-3.84E-05,0
Up,0.209081658,8.217796129,0.49,0.016606198,0.032222156,-0.000383225,0
Down,0.236476512,17.34880293,-0.01,0.017216682,0.026420951,-6.16E-05,0
Up,0.219801569,21.09064538,0.01,0.01721666,0.026420919,2.46E-06,0
Down,0.127805034,21.17339539,-4.1,0.015351146,0.016616695,-0.000506158,0
Up,0.098829036,21.08182391,0.01,0.014292429,0.006888995,0.000506158,0
Down,0.080293192,21.013343,-0.01,0.014292446,-1.43E-05,-2.46E-06,0
Down,-0.146666676,20.08512126,-6.88,0.011775324,-0.018461376,-0.000846487,0
Down,-0.216938993,19.58827744,-0.01,0.011766501,-0.019341114,0.000846485,0
Up,-0.380657126,18.01602174,0.01,0.011775324,-0.019305904,2.47E-06,0
Down,-0.536993062,16.12043347,-0.01,0.011766501,-0.019341114,-2.47E-06,0
Up,-0.589383637,12.39018673,0.01,0.010990303,-0.01690806,2.47E-06,0
Down,-0.762159067,-0.842179656,-0.01,0.011766501,-0.012145486,-2.47E-06,0
Up,-0.750896474,-0.953693724,0.01,0.008694384,-0.012110267,2.47E-06,0
Down,-0.75046738,-0.964586337,-0.01,0.006636006,-1.76E-05,-2.47E-06,0
Up,-0.750232099,-0.979836231,0.01,0.005966072,1.76E-05,2.47E-06,0
Down,-0.71689882,-0.986142481,-0.02,0.00531528,-3.52E-05,-3.70E-06,0
Down,-0.714314974,-0.986464145,-1.62,0.004029194,-0.002871589,-0.000197312,0
Down,-0.682478937,-0.990173679,-2.21,0.003248584,-0.006783365,-7.28E-05,0
Down,-0.368027921,0.151169513,-0.01,0.002763448,-0.006783373,0.000271357,0
Up,-0.204468286,0.908420811,0.01,0.002303313,-0.006783365,2.47E-06,0
Down,-0.037294237,1.664617203,-1.07,0.001096504,-0.00865167,-0.000133248,0
Down,-0.034214594,1.700998344,-4.1,-0.002276717,-0.015896669,-0.000373902,0
Up,-0.036810024,1.799259512,0.01,-0.002276714,-0.015843798,0.000507151,0
Down,-0.047624826,1.828141836,-0.01,-0.002199812,-0.013007463,-2.47E-06,0
Up,-0.137663195,1.602142516,0.01,-0.002119699,-0.009095667,2.47E-06,0
Down,-0.173912029,1.446491636,-0.01,-0.002749368,-0.009095678,-2.47E-06,0
