Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,% Change over last 8 minutes,Double Derivative,Total Profit $
Up,,,9159,,,0,
Down,,,-0.0100000000002183,,,0,0
Down,,,-0.0100000000002183,,,-1.19204646154003E-12,0
Down,,,-8.97999999999956,,,-0.000979366699230488,0
Up,,,9,,,0.00196406508005087,0
Down,,,-1.28000000000065,,,-0.00112335980554823,0
Down,,,-0.0100000000002183,,,0.000138661273312857,0
Up,,,0.0100000000002183,,,2.1839509093402E-06,0
Down,,,-0.0100000000002183,,,-2.1839509093402E-06,0
Up,,,0.0100000000002183,,,2.1839509093402E-06,0
Down,,,-0.0100000000002183,,,-2.1839509093402E-06,0
Up,,,0.0100000000002183,,,2.1839509093402E-06,0
Down,,,-0.0100000000002183,,,-2.1839509093402E-06,0
Up,,,0.0100000000002183,,,2.1839509093402E-06,0
Down,,,-0.0100000000002183,,,-2.1839509093402E-06,0
Up,,,0.0100000000002183,,,2.1839509093402E-06,0
Up,,,0.280000000000655,,,2.94833199836475E-05,0
Up,,,1,,,7.8618851159229E-05,0
Down,,,-0.0100000000002183,,,-0.000110285969445179,0
Down,,,-3.43000000000029,,,-0.000373403618839863,0
Down,,,-7.44999999999891,,,-0.000439217756135202,0
Down,,,-0.0100000000002183,,,0.000812620075259174,0
Up,,,1.89999999999964,,,0.000208786522782778,0
Up,,,2.29000000000087,,,4.25798232284169E-05,0
Up,,,0.639999999999418,,,-0.000180345369922286,0
Up,,,0.0100000000002183,,,-6.88353078004411E-05,0
Up,,,0.269999999998618,,,2.84061721231854E-05,0
Down,,,-0.279999999998836,,,-6.00890796399467E-05,0
Down,,,-1.93000000000029,,,-0.000180271078802363,0
Down,,,-2,,,-7.69390914423518E-06,0
Up,,,0.0100000000002183,,,0.000219648364772396,0
Down,,,-1.01000000000022,,,-0.000111487473609895,0
Down,,,-10.4099999999999,,,-0.00102755919309161,0
Up,,,0.0300000000006548,,,0.00114123679246869,0
Down,,,-0.0100000000002183,,,-4.37751827020438E-06,0
Up,,,0.0100000000002183,,,2.18875494317761E-06,0
Up,,,4.65999999999985,,,0.000508885244632218,0
Down,-0.225708348797863,15.1252887378742,-4.67000000000007,,,-0.00102079311780445,0
Up,-0.255372543296282,14.6396444625816,0.0100000000002183,,,0.000511907873172235,0
Down,-0.409471904996449,-0.0464968953578618,-0.960000000000946,,,-0.000106154557854676,0
Down,-0.431085467781929,-0.0491221289893875,-1.38999999999942,,,-4.70741887923509E-05,0
Down,-0.467049705381859,-0.750803300446327,-5.27000000000044,,,-0.000424750605813928,0
Up,-0.432884559672011,-0.754057651173493,0.0100000000002183,,,0.000577980264642619,0
Down,-0.425631747657224,-0.754057651173493,-0.0100000000002183,,,-2.19057930428423E-06,0
Up,-0.354580216472924,-0.710921568100795,0.0100000000002183,,,2.19057930428423E-06,0
Down,-0.342360261120297,-0.606078647945966,-0.0100000000002183,,,-2.19057930428423E-06,0
Up,0.520766615754643,1.14313995431142,0.0100000000002183,,,2.19057930428423E-06,0
Down,0.298207497260436,1.16031076250145,-0.0100000000002183,,,-2.19057930428423E-06,0
Down,-0.340583100037861,-0.905718851629786,-5,,,-0.000546549836906163,0
Up,-0.360328226830517,-0.963017409332685,0.0100000000002183,,,0.000548741016369481,0
Down,-0.371633586768865,-0.996762341575669,-6.11000000000058,-0.0161884578099765,-0.020287213845005,-0.000670684197711657,0
Up,-0.120407140774616,-0.764179804821704,0.819999999999709,-0.0145636608202801,-0.0187702402492533,0.000759511433993443,0
Up,0.10359335688247,0.707820497407665,5.84000000000015,-0.0111462384468242,-0.0081156527919198,0.000550447410999189,0
Up,0.160768262045358,0.966233617821381,0.989999999999782,-0.0106793102848523,-0.00628928975965337,-0.000531884044808306,0
Up,0.479845567823781,14.3710918314611,0.659999999999854,-0.00988491488829952,0.00404340372677781,-3.61700096562778E-05,0
Down,0.711346390587547,14.5850827923673,-0.00999999999839929,-0.00494205390563894,0.00400687846893732,-7.34121082868189E-05,0
Up,0.754991317637394,14.7667722251129,0.00999999999839929,-0.00495156484102023,0.0151849440282755,2.19125131906139E-06,0
Down,0.491473062520528,14.6837298691854,-7.15999999999985,-0.00835753512703147,0.00061176620580472,-0.000785563168915093,0
Up,0.504800298399341,17.2847262679849,3.23000000000138,-0.00682244666223189,-0.00415833067282471,0.00113863226762967,0
Up,0.610287939195161,34.9217496241889,0.0100000000002183,-0.00712378528589216,-0.00594817060392364,-0.000353068627956477,0
Down,1.13514702038336,34.9217496241889,-0.0100000000002183,-0.00713374198537726,-0.00717171358798711,-2.19219283414951E-06,0
Up,1.6887824881694,34.9816320586527,0.0100000000002183,-0.00681881365115296,-0.0071351848867011,2.19219283414951E-06,0
Down,3.21429297778814,50.7559887546237,-0.0100000000002183,-0.00596467585100266,-0.0071717135879686,-2.19219283414951E-06,0
Up,3.80973193350569,50.7929067259604,0.0100000000002183,-0.00570057647914247,0.00592101373991794,2.19219283414951E-06,0
Down,4.48231400062361,50.7929067259604,-0.0100000000002183,-0.00319714657229797,6.00741678624672E-11,-2.19219283414951E-06,0
Up,4.66754128739054,50.7929067259604,0.0100000000002183,-0.00319714306462073,6.00741678624672E-11,2.19219283414951E-06,0
Up,4.76575545296562,50.7929067259604,6.67999999999847,-8.93743701944833E-06,0.0122214684119474,0.000731095908278245,0
Up,4.77788908649094,51.0542910611152,2.96000000000095,0.00134229737231336,0.0176066497928118,-0.000407985025426383,0
Down,4.78071514465659,51.0542910611152,-0.729999999999563,0.0010046897584363,0.0162927424384433,-0.000404137516948122,0
Up,4.77647595310289,51.2373511704048,2.79999999999927,0.00219093172505058,0.0213845973087786,0.000386537926316377,0
Down,5.08367134491711,55.8226807133479,-0.0100000000002183,0.00227765933047038,0.0213846207265519,-0.00030770207998787,0
Up,5.04555170211307,56.1325529923996,0.0100000000002183,0.00219093172504437,0.0213845973087249,2.18938269813673E-06,0
Up,4.50903795153502,56.1469153780434,8.28000000000065,0.00582092864480055,0.0242881295685708,0.000905309248938613,0
Down,4.47366850460108,56.1469153780434,-0.710000000000946,0.00770089851437561,0.0175904689279989,-0.000984056599451444,0
Up,4.03352971230609,56.1466169763575,0.710000000000946,0.00800714970860472,0.020216956028779,0.000155311347532994,0
Up,3.84105598639954,56.1466169763575,0.0100000000002183,0.0106898777354725,0.0151250611984196,-7.65649895519971E-05,0
Down,3.10504951763096,56.1471709980927,-0.0100000000002183,0.0103258104358201,0.0151250777405817,-2.18739763657716E-06,0
Up,1.49391732095227,56.3815482923212,0.0100000000002183,0.00776870308271738,0.0151250611983844,2.18739763657716E-06,0
Up,0.490621252841256,65.6864066810278,1.30999999999949,0.0086574875464419,0.00240623663109544,0.000142180767433109,0
Down,0.600052319823176,49.6845697561469,-0.0100000000002183,0.0122182784605861,0.00286549251836687,-0.000144368008393125,0
Up,0.612474964398079,54.5886336121754,0.0100000000002183,0.0106134094504278,0.00240613614429693,2.18708428312286E-06,0
Down,0.595465657003095,60.8335581943315,-0.0100000000002183,0.0106034565478757,0.00236968212829665,-2.18708428312286E-06,0
