Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 100 Trials,Total Profit $
Up,0.776366322008863,,10921.01,,
Up,0.736847361972221,-1,8.86000000000058,,0
Up,0.0683727995688611,-0.158711411331192,0.109999999998763,,0
Up,0.054859579314931,-0.0980171434846416,0.0100000000002183,,0
Down,0.0609468281409435,0.0613780887251241,-0.0100000000002183,,0
Up,-0.179038997565591,-0.220630819163377,0.0100000000002183,,0
Down,-0.200028537987461,-0.274410407240152,-0.0100000000002183,,0
Up,-0.290815084555692,-0.657818404223919,0.0100000000002183,,0
Down,-0.383207767725292,-0.693093802599048,-0.0100000000002183,,0
Up,-0.44735206535242,-0.732765197357986,0.0100000000002183,,0
Down,-0.492269092926031,-0.757372928007326,-0.0100000000002183,,0
Up,-0.581395316295868,-0.899430531810937,0.0100000000002183,,0
Down,-0.594370707896556,-0.919902578516112,-0.0100000000002183,,0
Down,-0.618868698321848,-0.963911673922905,-0.149999999999636,,0
Down,-0.628747988377187,-0.975758604869909,-0.829999999999927,,0
Down,-0.630503167370181,-0.977774791507343,-6.05999999999949,,0
Down,-0.628909311975381,-0.977779533611241,-0.0100000000002183,,0
Up,-0.618258008292684,-0.979596042697968,0.0100000000002183,,0
Down,-0.613990416972086,-0.946797468722923,-2.94000000000051,,0
Up,-0.479636464456245,-0.805072117998803,0.0100000000002183,,0
Down,-0.443718322901966,-0.761924667567252,-0.0100000000002183,,0
Up,-0.450922032146571,-0.860215460599662,0.0100000000002183,,0
Down,-0.469712790285383,-0.938668838129167,-0.0100000000002183,,0
Up,-0.469389339681814,-0.952704504421998,0.0100000000002183,,0
Down,-0.467064797856502,-0.951396428544743,-0.0100000000002183,,0
Up,-0.411333677292108,-0.928701610899231,0.0100000000002183,,0
Down,-0.390667733792843,-0.913600464376388,-0.0100000000002183,,0
Up,-0.388592628380892,-0.913350847031764,0.0100000000002183,,0
Down,-0.389124431277452,-0.912272347723926,-0.0100000000002183,,0
Up,-0.398548947654721,-0.927337888768212,0.0100000000002183,,0
Down,-0.416680653664832,-0.941077303342871,-0.0100000000002183,,0
Down,-0.41920112783138,-0.942456538261745,-0.0200000000004366,,0
Down,-0.417837895984151,-0.944842353426491,-1.44999999999891,,0
Down,-0.410754052187929,-0.939147822959881,-1.14000000000124,,0
Up,-0.413836591345244,-0.944225275328156,0.819999999999709,,0
Down,-0.411748829747187,-0.939064234016448,-0.809999999999491,,0
Down,-0.340235891786323,-0.836145416629591,-0.0100000000002183,,0
Down,-0.316266890381373,-0.826181135463303,-5.38999999999942,,0
Down,-0.295417671068799,-0.794118832702072,-0.329999999999927,,0
Up,-0.28828910730918,-0.786713453691511,0.329999999999927,,0
Up,-0.24274796120383,-0.74757259610108,0.0100000000002183,,0
Down,-0.224889079316906,-0.233911800479397,-0.0100000000002183,,0
Up,-0.230081901257723,-0.245057188010621,0.0100000000002183,,0
Down,-0.268067684744637,-0.259815637302314,-0.0100000000002183,,0
Up,-0.246979520614581,-0.276555806384264,0.0100000000002183,,0
Down,-0.228505358546596,-0.296186853311043,-0.0100000000002183,,0
Up,-0.0801621429034663,-0.535650797443417,0.0100000000002183,,0
Down,0.0575782153210005,-0.0670355637751862,-0.0100000000002183,,0
Up,0.0889412081348227,0.333231772872552,0.0100000000002183,,0
Down,0.128474402493356,0.862918610740168,-0.0100000000002183,,0
Up,0.317944608782653,2.6970585322283,0.0100000000002183,,0
Down,0.372516277957036,3.16035592711209,-0.0100000000002183,0.0016475494410968,0
Up,0.492174245385417,4.99826993409752,0.0100000000002183,0.00327194283471055,0
Down,0.714386905782855,9.47636557308557,-0.0100000000002183,0.00329023831737096,0
Up,0.838445966297009,15.6430390898336,0.0100000000002183,0.00329390098978122,0
Down,0.769434324061139,15.4750985864011,-0.0100000000002183,0.00329023831736586,0
Up,0.640668847790952,10.9678083463627,0.0100000000002183,0.00329390098977611,0
Down,0.600613405213896,10.0726901160042,-0.0100000000002183,0.00329023831736075,0
Up,0.571285603164056,8.43198441622247,0.0100000000002183,0.003293900989771,0
Down,0.535401624624859,6.74526589045861,-0.0100000000002183,0.00329023831735564,0
Up,0.499263500472896,2.57606723969044,0.0100000000002183,0.0032939009897659,0
Down,0.404532250402816,1.48142801214587,-0.0100000000002183,0.00329023831735054,0
Up,0.136935950266004,-0.210824093082051,0.0100000000002183,0.00329390098976079,0
Down,0.137857155620193,-0.231243991291813,-0.0100000000002183,0.00329023831734543,0
Up,0.10094278384182,-0.308437930662709,0.0100000000002183,0.0032646237175189,0
Down,0.0729939645245916,-0.36533997776742,-0.0100000000002183,0.00311091293888666,0
Up,0.0388148241955125,-0.43202446023705,0.0100000000002183,0.00200376966319848,0
Down,0.0018488298862732,-0.518271779415948,-0.0100000000002183,0.00200010580975607,0
Up,-0.0826634858137964,-0.633068732559019,0.0100000000002183,0.00200376966319538,0
Down,-0.0842503219849393,-0.636473170407102,-0.0100000000002183,0.00146362021155322,0
Up,-0.0652607048740113,-0.626673078998596,0.0100000000002183,0.00146728455627998,0
Down,-0.0581103084469858,-0.610189581690117,-0.0100000000002183,0.00146362021155078,0
Up,-0.0389310371987431,-0.582760545358734,0.0100000000002183,0.00146728455627754,0
Down,-0.00794337013132368,-0.547187249272243,-0.0100000000002183,0.00146362021154833,0
Up,-0.0350870766585875,-0.595487420260403,0.0100000000002183,0.00146728455627509,0
Down,-0.0275930683447102,-0.578603659992111,-0.0100000000002183,0.00146362021154589,0
Up,0.0691766933554295,-0.492331725249907,0.0100000000002183,0.00146728455627265,0
Down,-0.00578345581468779,-0.609008402931337,-0.0100000000002183,0.00146362021154345,0
Up,-0.0637621020798462,-0.677806013718322,0.0100000000002183,0.00146728455627021,0
Down,-0.0708551535434987,-0.702447632750853,-0.0100000000002183,0.00146362021154101,0
Up,-0.0870128175404809,-0.723056455997552,0.0100000000002183,0.00146728455626777,0
Down,-0.0969699002739921,-0.736159795327603,-0.0100000000002183,0.00146362021153856,0
Down,-0.176647359560084,-0.860359567808671,-0.0100000000002183,0.00146179005077074,0
Down,-0.185466513514524,-0.880613675407362,-1.97999999999956,0.00119805464338918,0
Up,-0.191534481395361,-0.89798186146925,1.3799999999992,0.00135213888268404,0
Down,-0.197801257275389,-0.905989138297754,-11.3799999999992,0.00124937925032609,0
Up,-0.230115327472053,-0.933102152775717,10.8799999999992,0.00318689701150188,0
Down,-0.269865388223752,-0.972144093885438,-0.0100000000002183,0.00118873662975916,0
Up,-0.28232915104748,-0.981768446560911,0.0100000000002183,0.000203154170463016,0
Down,-0.280430017118558,-0.982463419998972,-12.8599999999988,0.000140837266779492,0
Up,-0.306326629267084,-0.990403387000794,11.869999999999,0.00255860087920268,0
Down,-0.311239677878741,-0.991104899075967,-0.0100000000002183,0.000382058366029669,0
Down,-0.420431399467266,-0.999335911559045,-0.889999999999418,0.000382058720505674,0
Down,-0.439711123940309,-0.997810358546078,-6.10000000000036,0.000547046280664043,0
Up,-0.440486836036496,-0.997152476814064,4,0.00166355609062441,0
Down,-0.366669823972773,-0.963745983228662,-4,0.000931639198890277,0
Up,-0.358953459882044,-0.963103447353742,4,0.00166328699669038,0
Down,0.087746002804849,0.328737502989438,-8.86999999999898,0.000931370104956253,0
Up,0.0716931716808357,0.267293205968373,2.8799999999992,0.00255603058280274,0
Up,0.0577928451052869,0.20674781822453,0.0100000000002183,0.00202932753602836,0
Up,-0.0814786033360115,-0.234224924706974,0.149999999999636,0.00202565998392057,0
Up,-0.115887389553356,-0.309609047626308,5.13000000000102,0.00199997221555615,0
Down,-0.140145807710615,-0.385189597038483,-0.0100000000002183,0.00105694736123452,0
Down,-0.313999638228656,-0.898269768147608,-0.149999999999636,0.00106061402510482,0
Down,-0.324362156582432,-0.822342390927127,-5.11000000000058,0.00108628849686299,0
Up,-0.331406835721783,-0.778090964237462,0.0100000000002183,0.00202521674912015,0
Down,-0.405139435703866,-0.673455998965459,-0.940000000000509,0.00202154920037856,0
Up,-0.418691379878156,-0.653922690549749,0.0100000000002183,0.00219584423628749,0
Down,-0.470078448270401,-0.604906589555597,-0.0100000000002183,0.00219217653100712,0
Down,-0.474575472179434,-0.597169113413481,-4.42000000000007,0.00219584423628394,0
Down,-0.477587001402476,-0.588656781579278,-2.57999999999993,0.00300502056770058,0
Up,-0.47699208365466,-0.586152409561839,0.0100000000002183,0.00348043994920122,0
Down,-0.476863559287856,-0.615051057218293,-0.0100000000002183,0.00347677106481159,0
Down,-0.498912727151804,-0.862634952259068,-0.229999999999563,0.00348043994919545,0
Down,-0.512775768247323,-0.880826848241733,-4.77000000000044,0.00352083606067444,0
Down,-0.499076567372448,-0.864069314563029,-18.0100000000002,0.00439847919042013,0
Up,-0.436272949386623,-0.774381168551278,0.0100000000002183,0.00770487559072852,0
Down,-0.388001801752103,-0.636802921252072,-0.0100000000002183,0.00770486850720764,0
Up,-0.353269759242025,-0.540079078488164,0.0100000000002183,0.00770487559071542,0
Down,-0.340859513124354,-0.500720973484213,-0.0100000000002183,0.00770486850719454,0
Up,-0.300502728134427,-0.37186786707021,0.0100000000002183,0.00770487559070232,0
Up,-0.218995634238832,0.00668474903728726,0.149999999999636,0.00770486850718144,0
Up,-0.193438210283509,0.0394773449496167,4.47999999999956,0.00767543676824212,0
Up,-0.17355401886359,0.074973326420647,1.43000000000029,0.00685299395884731,0
Up,-0.139866349752756,0.261860555195588,6.22000000000116,0.00658816366224557,0
Up,-0.0644741496332972,5.94784745356501,2.70999999999913,0.00544619994813966,0
Up,0.0728318683272471,9.32979909074776,0.0100000000002183,0.00494630971285992,0
Up,0.29239606558788,52.3692160967227,15.7700000000004,0.00494630516484196,0
Down,0.208266544425152,52.510258049982,-0.0100000000002183,0.00204690686489584,0
Up,0.182237259086196,52.0068283335735,0.0100000000002183,0.00205057444224632,0
Down,-0.134123859316686,20.6012236242722,-0.0100000000002183,0.00204690686489206,0
Up,-0.190687214685658,9.72417794482672,0.0100000000002183,0.00205057444224255,0
Down,-0.215897282125461,5.19144314846981,-0.0100000000002183,0.00204690686488829,0
Up,-0.453295448223355,-0.841268935173417,0.0100000000002183,0.00204690875308922,0
Down,-0.77035643217975,-0.920551386718135,-0.770000000000437,0.00168217046025099,0
Down,-0.784010818109242,-0.949691015176003,-9.92000000000007,0.00207642357053017,0
Down,-0.788060430719344,-0.956776261697869,-8.6200000000008,0.00181071332553939,0
Up,-0.785749655248865,-0.960126391662861,0.0100000000002183,0.0053901339045026,0
Up,-0.758632397716615,5.42652105924659,1.31000000000131,0.00538646288481415,0
Up,-0.707072842104897,6.9566484292225,0.0199999999986176,0.00514751962535609,0
Up,-0.493972457345204,54.9104451248234,10.4600000000009,0.00278656618166973,0
Up,-0.45627723964723,86.8571428571429,0.0399999999990541,0.00304264213117666,0
Up,-0.344406817879556,-0.185714285714286,4.22000000000116,0.00303346494311785,0
Up,-0.31558906143784,0.507245757277818,0.0799999999999272,0.00209552205498764,0
Up,-0.316824495005669,0.605095541401274,2.04999999999927,0.000962497162503073,0
Down,-0.372719844603927,-0.627478753541077,-0.0100000000002183,0.00132001727026987,0
Up,-0.399178275870773,-0.73209549071618,0.0100000000002183,0.00058837155087943,0
Down,-0.569501735283833,-0.855504587155963,-0.0100000000002183,0.00132028636420012,0
Up,-0.590476713836048,-0.569411764705882,0.0100000000002183,-0.0003043720352367,0
Down,-0.59537571466459,-0.644273514104149,-0.0100000000002183,0.000222328933124238,0
Up,-0.61215457939123,-0.951107247980087,0.0100000000002183,0.000225998563641694,0
Down,-0.619116231130612,-1,-0.0100000000002183,0.000251684253592677,0
Down,-0.646161429264612,-1,-1.30999999999949,0.00119471118632397,0
Up,-0.652533721896396,-0.996437626774848,0.0100000000002183,0.00143325227849322,0
Down,-0.688328935259307,-1,-0.0100000000002183,0.00140390982029026,0
Up,-0.694771727722517,-1,0.0100000000002183,0.000468649554473455,0
Down,-0.70029799071314,-1,-0.540000000000873,0.000468649116770248,0
Down,-0.73997202318222,-1,-3.72999999999956,0.000395284586180988,0
Down,-0.744927806524294,-0.96456203371097,-0.069999999999709,0.0010816612826976,0
Down,-0.779522798746539,-1,-29.7900000000009,0.00109267745012365,0
Up,-0.771674557394932,-1,17.5400000000009,0.00575073381647662,0
Up,-0.708127927330812,-0.40625,1.75,0.00204819644005116,0
Up,-0.676787308105794,8.2,0.409999999999854,0.00172839303936012,0
Up,-0.593360325956645,298,0.180000000000291,0.00165121358980258,0
Up,-0.545858165820298,17,2.40999999999985,0.00157590828694687,0
Down,-0.523854804875271,0.884146341463415,-0.0100000000002183,0.000257249771009826,0
Up,-0.537941098589786,21.5,0.0100000000002183,-0.0030491423344543,0
Down,-0.520323434496184,18.4583333333333,-0.0100000000002183,-0.00304913954578545,0
Up,-0.512564658426299,23.7333333333333,0.0100000000002183,-0.00304914233444897,0
Up,-0.507633014175077,26.1666666666667,0.0100000000002183,-0.00304913954578012,0
Up,-0.497404087512779,32.1354166666667,0.489999999999782,-0.0030528166099224,0
Up,-0.466795862933399,18.8461538461538,0.149999999999636,-0.00314099634836817,0
Up,-0.429189960492227,17.8695652173913,2.84000000000015,-0.00314095325282016,0
Up,-0.405341641926891,20.6086956521739,0.0100000000002183,-0.00283839356675775,0
Down,-0.143312603369285,35.6111111111111,-0.0100000000002183,-0.00257723266202903,0
Up,-0.135560089352929,35.4444444444444,0.0100000000002183,-0.00143159955605721,0
Down,-0.0742492878261426,36.5,-0.0100000000002183,-0.000935378712650481,0
Up,-0.0685496852163907,36.5,0.0100000000002183,-0.000931704772766606,0
Up,-0.0574771168652781,36.5,1,0.0019640241353065,0
Down,-0.0542169865108322,36.5,-0.0100000000002183,0.00177853467342137,0
Up,-0.0616493650995038,18.0993975903614,6.43000000000029,0.00178220578654176,0
Up,-0.071706498799318,-0.198795180722892,0.069999999999709,0.000599578490371844,0
Up,-0.125058559511853,-0.705128205128205,0.0100000000002183,0.00058856614726599,0
Down,-0.221221051360645,-1,-0.0100000000002183,0.000584896129484092,0
Up,-0.444614380050222,-0.171636969222649,0.0100000000002183,0.000588566147265102,0
Down,-0.64920227953977,-0.663934426229508,-0.0100000000002183,0.000445456438525449,0
Up,-0.653826514150094,1.04732456140351,0.0100000000002183,-0.00137289176439115,0
Down,-0.617425528872085,1.07826086956522,-0.0100000000002183,-0.00295781918462512,0
Up,-0.607539853706472,1.16591928251121,0.0100000000002183,-0.00295414591265075,0
Down,-0.532556065935861,1.28245632836781,-0.0100000000002183,-0.00271520490548305,0
Up,-0.468485828536632,1.62535160148807,0.0400000000008731,-0.00270969409072541,0
Up,-0.341952407012993,1.6952380952381,0.0599999999994907,-0.000794735822508885,0
Up,-0.310554927219434,1.64855762530775,0.100000000000364,-0.000798403501437894,0
Up,-0.269043701825721,0.671875,1.29999999999927,-4.19680105394615E-05,0
Up,-0.263977432284176,0.63125,0.0100000000002183,-0.000265868443017903,0
Up,-0.255198845163022,0.578719723183391,0.149999999999636,0.000108526153103528,0
Up,-0.245381065783763,0.211229946524064,0.75,7.91657707472915E-05,0
Up,-0.243191729769355,0.213903743315508,0.0900000000001455,-5.6624717420295E-05,0
Up,-0.165853163259052,4.19710242587601,0.0100000000002183,-7.49735516969441E-05,0
Down,-0.0606767861542101,17.7931034482759,-0.0100000000002183,-7.49734927774082E-05,0
Up,-0.0409760199480722,20.8825757575758,0.460000000000946,-7.49735516969441E-05,0
Up,-0.0352621377993707,29.5902777777778,0.319999999999709,-0.00015754237586818,0
Down,-0.00692584694861314,23.6805555555556,-0.0100000000002183,-0.000218090469565002,0
Up,0.00519924108780876,24.7368421052632,0.0100000000002183,-0.000456630648254075,0
Down,-0.00602329022767354,29.5833333333333,-0.0100000000002183,-0.000456630239163536,0
Up,-0.0234470355835037,29.7222222222222,0.239999999999782,-0.000456630648253409,0
Up,-0.0314527041439137,603,0.579999999999927,-0.000498829131716949,0
Down,-0.0465109803683919,711,-0.0100000000002183,-0.000704339048218205,0
Up,-0.048967164398051,711,0.180000000000291,-0.0013870462858967,0
Up,-0.0562258816332646,711,0.0100000000002183,-0.00143292008047058,0
Up,-0.109402360571282,435,0.0100000000002183,-0.00690382018898017,0
Up,-0.162490695735239,15.8695652173913,5.11999999999898,-0.00367670391564223,0
Up,-0.175546684639137,6.8,0.0200000000004366,-0.00429436148669371,0
Up,-0.333293617178368,1.87729138166895,0.0100000000002183,-0.00422268548351123,0
Up,-0.377848162713992,4.84444444444444,0.0300000000006548,-0.0041914428349501,0
Down,-0.47768429598069,-0.10752688172043,-0.0300000000006548,-0.00375409569890195,0
Up,-0.638518805581632,-1,0.0100000000002183,-0.00375043175705447,0
Down,-0.681362367967335,-1,-0.0100000000002183,-0.00375042831586714,0
Up,-0.733346504300452,-1,0.0100000000002183,-0.00375043175704848,0
Down,-0.742121636682478,-1,-0.0100000000002183,-0.00375042831586114,0
Up,-0.769531418804817,-1,0.0100000000002183,-0.00374675748156372,0
Down,-0.762006799414849,1.3984375,-0.0100000000002183,-0.00365857151326177,0
Up,-0.624143919748861,0.22758892713712,0.0100000000002183,-0.00362918201620754,0
Down,-0.546444276882237,1.86798469387755,-0.0100000000002183,-0.00310929974653984,0
Up,-0.530717459734579,2.87254901960784,0.0100000000002183,-0.0031056295010039,0
Down,-0.58578068883249,-0.867315959488014,-0.0100000000002183,-0.00310929974653451,0
Up,-0.590987029101769,-0.855072463768116,0.0100000000002183,-0.00310562950099858,0
Down,-0.66817381317688,-0.937908496732026,-0.0100000000002183,-0.00310929974652918,0
Up,-0.721283140198917,-0.937466861440242,0.0100000000002183,-0.00310562950099325,0
Down,-0.735989354942275,-0.90129854106906,-0.0100000000002183,-0.0029238084701233,0
Up,-0.749261075755094,-0.962328767123288,0.0100000000002183,-0.00292381115222651,0
Down,-0.747240436610648,-0.0558823529411764,-0.0100000000002183,-0.00174485228707177,0
Up,-0.687359705185827,-0.452514630306271,0.0100000000002183,-0.00173017151294874,0
Down,-0.683062252391402,-0.816593886462882,-0.0100000000002183,-0.00173016992618202,0
Up,-0.666348816656642,-0.92197092356473,0.0100000000002183,-0.00173017151294585,0
Down,-0.68317692064729,-0.958437578395677,-0.159999999999854,-0.00173016992617914,0
Down,-0.687990614192598,-0.998266897746967,-0.770000000000437,-0.00170266606457226,0
Down,-0.724295309188451,34.0019880715706,-4.07999999999993,-0.00155963407329995,0
