Up,-0.35185746,-0.159253945,7911
Down,-0.364089934,-0.160381971,-0.01
Up,-0.359440084,-0.147181053,0.01
Down,-0.406714875,-0.268022759,-0.01
Up,-0.463884918,-0.402673087,0.01
Down,-0.472688861,-0.408922061,-7.91
Down,-0.476771269,-0.371240086,-21.09
Up,-0.467364204,-0.354230076,14.28
Down,-0.495030258,-0.412936433,-0.01
Up,-0.515073291,-0.450408575,0.01
Down,-0.545691658,-0.506394535,-15.28
Up,-0.538167641,-0.51312374,0.01
Up,-0.522632269,-0.521817959,4.41
Down,-0.507530501,-0.573000692,-0.78
Down,-0.501442355,-0.597187218,-7.64
Up,-0.477206193,-0.560144183,0.02
Down,-0.460091484,-0.560144183,-0.46
Up,-0.449661059,-0.55337084,0.1
Up,-0.424226266,-0.398049727,0.63
Down,-0.407192674,-0.41513689,-0.01
Up,-0.40287228,-0.42824071,0.01
Down,-0.398264797,-0.427353396,-0.93
Down,-0.394613364,-0.425066508,-0.01
Up,-0.387981509,-0.429006392,0.01
Down,-0.38436491,-0.425394784,-0.01
Down,-0.385376928,-0.422697224,-3.35
Down,-0.384266341,-0.422697224,-11.77
Up,-0.383105741,-0.433906986,4.52
Up,-0.385438725,-0.44468971,1.64
Down,-0.387654324,-0.455069342,-2.39
Up,-0.388234859,-0.460114996,1.28
Up,-0.392849653,-0.469104641,1.37
Down,-0.398064827,-0.482641551,-2.64
Up,-0.402278076,-0.4854229,1.26
Up,-0.407047142,-0.48739515,0.01
Down,-0.427654647,-0.495792469,-1.1
Down,-0.431542133,-0.468048197,-3.57
Up,-0.43411271,-0.465943852,1.79
Down,-0.439178724,-0.468699795,-1.78
Down,-0.440145536,-0.469217987,-4.25
Up,-0.443368865,-0.482570994,0.48
Down,-0.448003113,-0.490923151,-0.01
Up,-0.450002416,-0.476178282,0.01
Up,-0.444228548,0.063492009,2.15
Down,-0.449768055,0.043468989,-10
Down,-0.457684258,0.030662053,-12.96
Up,-0.455980563,0.032775548,12.95
Up,-0.46151587,0.013238493,0.01
Down,-0.461041939,0.002985908,-20
Up,-0.461565571,-0.002704767,17.96
Down,-0.460648175,-0.009813582,-11.03
Up,-0.45644726,-0.007635646,8.06
Up,-0.455249419,-0.010685751,3
Down,-0.457117041,-0.031860826,-0.01
Up,-0.450254825,-0.027612629,0.01
Down,-0.461315821,-0.026910484,-0.01
Up,-0.4645122,-0.042862307,0.01
Down,-0.51356737,-0.121132295,-0.01
Up,-0.519434946,-0.128153735,0.01
Down,-0.52351049,-0.132611713,-0.01
Up,-0.527872064,-0.137855157,0.01
Down,-0.535083459,-0.146793042,-0.01
Up,-0.55252434,-0.173490145,0.01
Down,-0.559649258,-0.173490145,-0.99
Down,-0.564328017,-0.173490145,-14
Up,-0.564835335,-0.168740088,0.01
Up,-0.562206435,-0.164460604,0.01
Down,-0.5607031,-0.164824854,-0.01
Up,-0.557030564,-0.162876161,3.87
Up,-0.557954747,-0.162549414,3.13
Down,-0.554187207,-0.16258355,-7
Up,-0.551372215,-0.158774221,7
Down,-0.54536456,-0.153927059,-2.28
Down,-0.541890889,-0.148164745,-0.01
Up,-0.539815003,-0.143608243,0.01
Down,-0.531862123,-0.115102573,-0.01
Down,-0.511635128,-0.127623147,-4.36
Up,-0.509632537,-0.122341206,4.37
Down,-0.504786557,-0.125523388,-7.72
Up,-0.494543967,-0.106106718,7.72
Down,-0.490178224,-0.092664714,-2.72
Up,-0.425623608,-0.659477709,4.98
Up,-0.421835049,-0.663213341,0.4
Up,-0.418241361,-0.623508479,9.61
Up,-0.404731949,0.195916793,0.07
Up,-0.401774618,0.214341281,10.28
Up,-0.40228764,0.376672315,1.42
Up,-0.401315322,0.398715457,1.78
Up,-0.40121807,0.418820306,0.72
Up,-0.40022687,0.437959645,3.38
Down,-0.400026387,0.481296105,-0.01
Up,-0.399321101,0.504498782,2.36
Up,-0.400756568,0.511137782,2.5
Up,-0.402567099,0.532009431,3.02
Up,-0.404674789,0.540630574,2.88
Up,-0.402138308,0.674370485,9.59
Down,-0.400595568,0.688957055,-7.98
Up,-0.40655484,2.319166497,7.99
Up,-0.405585547,3.113251318,2.09
Down,-0.405029672,3.349302528,-0.01
Up,-0.402105393,3.513427152,9.91
Down,-0.442000139,3.412639577,-0.01
Up,-0.445455492,3.400465224,0.01
Down,-0.473896227,3.230811648,-0.99
Down,-0.484875068,3.225709105,-8.5
Up,-0.50076099,3.251773024,0.01
Down,-0.51053798,3.172825915,-9.48
Up,-0.526830806,3.191935522,10.79
Up,-0.535620456,2.576473058,2.43
Down,-0.54140268,2.381991971,-0.01
Up,-0.580958853,2.145507118,0.01
Down,-0.590813436,1.694191328,-13.25
Up,-0.596084052,1.056501915,0.04
Down,-0.60430041,0.17506357,-0.01
Down,-0.624622279,-0.879132867,-0.01
Down,-0.629747173,-0.882233026,-0.01
Up,-0.645695206,-0.884927552,0.02
Up,-0.656923483,-0.887742833,0.01
Down,-0.66395788,-0.884670103,-0.04
Up,-0.675657307,-0.827203685,0.01
Up,-0.682024064,-0.829199162,1.99
Up,-0.690014197,-0.830528212,2
Up,-0.696307479,-0.845266328,6.82
Down,-0.703791358,-0.840869565,-1.73
Up,-0.699809224,-0.801086957,1.73
Down,-0.700930508,-0.787826087,-1.72
Down,-0.692654181,4.569960474,-0.09
Up,-0.688946076,7.073333333,4.99
Down,-0.690541205,7.026086957,-0.01
Up,-0.691607214,-0.466397809,0.01
Down,-0.693896711,-0.957948718,-0.01
Up,-0.6939018,-0.780513595,0.01
Down,-0.694109273,-0.486203328,-0.01
Up,-0.691994897,-0.517090699,0.01
Down,-0.703725044,-0.954059948,-0.01
Down,-0.694671013,-0.489855072,-4.98
Down,-0.696987781,1.469393582,-0.01
Up,-0.734217039,-1,0.01
Down,-0.743343075,-1,-5.01
Up,-0.749659622,-1,0.01
Down,-0.747683089,-1,-6.74
Up,-0.743888917,-1,6.73
Down,-0.743897547,-1,-4.97
Down,-0.741147921,-0.878787879,-9.46
Up,-0.729383623,-0.781818182,4.43
Up,-0.719027837,0.090909091,5
Up,-0.718286452,0.090909091,3.92
Up,-0.737513893,-1,2.07
Down,-0.751737621,-1,-0.01
Up,-0.753651054,-1,0.01
Down,-0.757604918,-1,-0.01
Up,-0.763111661,-1,0.01
Up,-0.77327949,-1,0.01
Down,-0.794502712,-1,-0.02
Up,-0.799569923,-1,0.01
Down,-0.886892574,-1,-0.49
Down,-0.886926334,-1,-0.5
Down,-0.885187137,-1,-2.95
Up,-0.878337262,17,2.92
Up,-0.872339422,-1,0.02
Up,-0.86516965,-0.553227931,0.01
Down,-0.85899831,-0.330188679,-0.01
Up,-0.854908536,0.246776612,1
Up,-0.851501959,1.275127877,5.82
Up,-0.850558717,0.047154611,8.19
Up,-0.4485396,32.15555556,7.28
Up,-0.425529772,-0.984168865,2.72
Up,-0.400094085,1.196078431,0.12
Up,-0.373199647,3.671428571,1.74
Up,-0.146178847,3.671428571,8.13
Up,-0.127505174,0.630434783,3.02
Up,-0.120910744,5.8,5.69
Up,-0.101193734,7.708333333,2.93
Up,-0.091147112,97.66666667,3.58
Up,-0.088158298,97.66666667,0.92
Up,-0.08047623,2.714285714,0.11
Up,-0.068942803,8.625,1.6
Down,-0.066530417,11.80357143,-1.6
Up,0.067859698,60.61290323,2.22
Up,0.074950039,12.17857143,0.84
Up,0.080753736,1.602040816,0.95
Down,-0.082035862,6.108057357,-0.01
Up,-0.078809165,3.694168734,0.01
Up,0.29421518,5.44375969,1.8
Up,0.338890927,1.732876712,1.95
Up,0.515736541,1.088651252,0.26
Down,0.719913812,17.54166667,-0.01
Up,0.80213609,1.543236615,0.01
Down,0.821660503,1.377704002,-0.01
Up,0.826659174,0.937602627,0.01
Down,0.759220408,-0.215759681,-2.26
Down,0.732464513,0.836640212,-5.77
Down,0.719828638,0.08994709,-21
Down,0.714180855,-1,-6.82
Up,0.708430124,-1,6.82
Down,0.700124256,-1,-3.63
Down,0.691282691,-1,-3.19
Up,0.677995526,-1,0.01
Down,0.674647315,-1,-0.01
Down,0.669016933,-0.843945132,-26.54
Down,0.73478087,0.38647343,-0.01
Up,0.775489638,0.547826087,0.01
Up,0.870999092,0.565217391,3.12
Up,0.974291306,0.043478261,19.79
Down,0.963089194,0.043478261,-2.27
Down,0.735716608,-0.961414791,-0.69
Down,0.706467763,-1,-1.81
Down,0.643214669,-0.996226415,-10.39
Down,0.605160179,-0.973913043,-1.61
Down,0.554008907,-0.84057971,-0.01
Down,0.491237741,-0.758152174,-3.01
Up,0.410662869,-0.407097959,1.85
Up,0.159478677,-0.4669967,0.01
Down,0.116764936,-0.588748299,-0.01
Up,0.074581614,-0.564139942,0.01
Down,-0.141610778,-0.510550887,-0.01
Up,-0.186744531,-0.173207037,0.01
Up,-0.150198295,0.323390895,13.15
Up,-0.202176174,14.27272727,0.17
Up,-0.317352709,14.27272727,11.72
Up,-0.528595548,5.75,3.31
Up,-0.530829124,5.502702703,2.68
Down,-0.531872444,-1,-2.88
Up,-0.529552893,-0.849056604,5.62
Down,-0.571725826,-0.466666667,-0.01
Down,-0.576577737,-1,-5.75
Down,-0.594277634,-1,-6.86
Down,-0.60207796,-1,-7.82
Up,-0.60471324,-1,7.82
Down,-0.602508131,5,-8
Up,-0.601124161,11,4.99
Up,-0.601173746,-1,0.01
Up,-0.635135464,71,6.46
Down,-0.643307447,-1,-6.46
Up,-0.652434681,-1,5
Down,-0.618589882,29,-4.99
Up,-0.5790385,29,10.19
Up,-0.57566068,-1,0.6
Up,-0.573989299,-1,4.82
Down,-0.578498211,0.663366337,-20.62
Down,-0.591900383,-0.987330572,-0.84
Down,-0.592293147,-0.991493384,-0.01
Up,-0.593342759,-0.999425947,0.84
Down,-0.594321339,-1,-8.87
Up,-0.594018348,-1,6.89
Up,-0.595688383,-1,1.97
Down,-0.596956203,-1,-0.01
Down,-0.60119296,-0.994672349,-0.01
Down,-0.603042412,-1,-0.46
Down,-0.603101045,-1,-4.49
Down,-0.602501524,-1,-8.14
Up,-0.588046449,-1,5.38
Up,-0.588890086,-1,7.74
Down,-0.594150003,-1,-7.02
Up,-0.59100196,-0.85326087,0.01
Up,-0.603315009,-1,7.02
Down,-0.663799545,-0.991373113,-0.01
Down,-0.683966027,-1,-7.02
Down,-0.696354471,-1,-6.1
Up,-0.709601776,-1,13.11
Up,-0.712313109,-1,0.01
Down,-0.719674265,-1,-0.02
Up,-0.725460611,-1,0.03
Down,-0.736426259,-1,-0.02
Down,-0.752730407,-0.688644471,-0.01
Up,-0.762132549,-0.691376702,0.01
Up,-0.780519313,-0.674442635,0.02
Down,-0.754505279,-0.47064386,-0.01
Up,-0.749654113,-0.397048489,0.01
Down,-0.742198385,-0.743034056,-0.01
Up,-0.739565445,-0.839543726,0.01
Down,-0.772436157,-0.965550405,-0.01
Up,-0.773740449,-0.943475755,0.01
Down,-0.768334165,-0.921360143,-0.01
Down,-0.767538893,-0.989535942,-0.01
Down,-0.769376273,-1,-24.98
Up,-0.766904328,-0.608695652,13.29
