Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 100 Trials
Up,-0.162845303867403,13.3478260869565,8353,
Down,-0.176514126984491,13.3478260869565,-0.0100000000002183,
Up,-0.540493828464199,13.4632265546885,0.0100000000002183,
Down,-0.471377811959402,16.1399357827617,-0.0100000000002183,
Up,-0.273837342224708,24.4545454545455,6.59000000000015,
Down,-0.447989304279823,-0.746450304259635,-5.71999999999935,
Down,-0.676229767068569,-0.700348432055749,-0.8700000000008,
Up,-0.704153329796684,-0.686851211072664,0.0100000000002183,
Down,-0.708236549075802,-0.704301075268817,-0.0100000000002183,
Up,-0.702808977661718,-0.668488160291439,0.0100000000002183,
Down,-0.700471984437278,-0.71505376344086,-0.0100000000002183,
Up,-0.636118272915625,-0.536633663366337,0.0100000000002183,
Up,-0.400418640088225,-1,5.3799999999992,
Down,-0.539371718954089,-1,-0.549999999999272,
Up,-0.544785275519878,-1,0.0100000000002183,
Down,-0.603680818994234,-0.829912023460411,-0.659999999999854,
Up,-0.578749647067601,-0.592741935483871,0.0100000000002183,
Down,-0.442091586575443,-0.36,-0.0100000000002183,
Up,-0.428278944035103,0.0836074857081222,0.319999999999709,
Up,-0.235333143515171,10.8214285714286,8,
Down,-0.252619645422363,-1,-7.81999999999971,
Up,-0.25786527647502,-1,3.68000000000029,
Down,-0.271172198021046,-1,-3.8700000000008,
Up,-0.276682463309411,-1,0.0100000000002183,
Up,-0.4653872543509,-0.301396316102198,0.0300000000006548,
Up,-0.293338357609049,21.5294117647059,0.459999999999127,
Up,0.133813589634977,21.5294117647059,2.01000000000022,
Up,0.266581145693506,21.5294117647059,5,
Up,0.147910841393882,4.66666666666667,1.15999999999985,
Down,0.0912645042442389,15.2222222222222,-0.0100000000002183,
Up,0.0448937349052395,320,0.0100000000002183,
Up,0.0708305648486662,342,0.680000000000291,
Up,0.194281450344014,218.5,0.0100000000002183,
Down,0.265604509951521,144,-0.0100000000002183,
Up,0.524791765745092,211.5,0.0100000000002183,
Up,0.534177390017647,100.5,0.340000000000146,
Up,0.432004667638791,17.9210526315789,0.0100000000002183,
Down,0.366343163958115,17.5333333333333,-0.0100000000002183,
Up,0.276639992244854,9.84615384615385,0.609999999998763,
Up,0.129604053617131,5.03703703703704,1.20000000000073,
Down,0.0186175329819213,2.56818181818182,-0.0100000000002183,
Up,-0.041516339836481,1.4,0.0100000000002183,
Down,-0.423201906779832,-0.636363636363636,-0.0100000000002183,
Up,-0.515312284569193,1.76,0.0100000000002183,
Down,-0.490392375543918,-0.154838709677419,-0.0100000000002183,
Up,-0.481194638723547,-0.266666666666667,0.0100000000002183,
Down,-0.433532863715938,1.765625,-0.0100000000002183,
Up,-0.382873938104055,0.90625,0.0100000000002183,
Down,-0.298281616290485,2.3125,-0.0100000000002183,
Up,-0.204765419645544,1.66741071428571,1.01000000000022,
Down,-0.154207738235995,1.87142857142857,-0.0100000000002183,
Up,-0.0981156623587931,3.66197183098592,0.0100000000002183,-0.00406808059428765
Down,-0.104476481720746,1.484375,-0.0100000000002183,-0.0040728644327388
Up,-0.125210792146961,1.01234567901235,0.0100000000002183,-0.0040680805942761
Up,-0.517854252068054,0.7,0.0100000000002183,-0.00407286443272725
Down,-0.661779931904512,0.757009345794393,-0.0100000000002183,-0.00249737581785259
Up,-0.654358081107959,0.757009345794393,0.0100000000002183,-0.00386347613895865
Down,-0.617899084744554,-0.438461538461538,-0.0100000000002183,-0.00407415257280985
Up,-0.637750693214623,0.446153846153846,0.0100000000002183,-0.00406936873720198
Down,-0.63788346156404,1.12605042016807,-0.0100000000002183,-0.00407415257279808
Up,-0.548847715381457,4.71428571428571,0.0100000000002183,-0.00406936873719022
Down,-0.485332948895102,6.97619047619048,-0.0100000000002183,-0.00407415257278632
Up,-0.321331092209459,28.3076923076923,0.0499999999992724,-0.00406936873717845
Down,-0.313797912290723,28.3076923076923,-0.00999999999839929,-0.00279315622594511
Up,-0.178415136622165,36.4615384615385,0.00999999999839929,-0.00292237120362504
Up,-0.0430562722469388,292,0.950000000000728,-0.00292236771282761
Up,-0.0356260070077499,305,0.649999999999636,-0.00330730309469329
Down,-0.191894595396295,205,-0.0100000000002183,-0.00346020799573798
Up,-0.234989521870062,216,0.360000000000582,-0.0034602121293239
Up,-0.252154779225507,21.6666666666667,1.3700000000008,-0.00346963592690974
Down,-0.366270929373782,23.1666666666667,-0.0100000000002183,-0.0018824692406394
Up,-0.367506014814934,23.1666666666667,2.63999999999942,-0.00374966412411171
Down,-0.410418739800204,23.1666666666667,-0.0100000000002183,-0.00349960820464013
Up,-0.463867587550806,23.1666666666667,0.0100000000002183,-0.0044229071604347
Up,-0.441993484567539,23.1666666666667,0.0100000000002183,-0.00442290187489025
Up,-0.431813636119653,23.1666666666667,0.289999999999054,-0.00441811046910745
Up,-0.412626967824631,23.1666666666667,3.28000000000065,-0.00437727547902877
Up,-0.546851321892318,5.09523809523809,0.420000000000073,-0.00467946061008018
Up,-0.315164757117424,21,3.02000000000044,-0.00358353204890749
Down,-0.30918949600858,24.3,-0.0100000000002183,-0.00402694968718054
Up,-0.312423627135673,23.5,0.0100000000002183,-0.00402695449514123
Up,-0.353615086963958,1.45833333333333,1.48999999999978,-0.00402694968716943
Up,-0.418381721128024,2.5625,0.0100000000002183,-0.00421987052529005
Down,-0.500676287812293,4.91489361702128,-0.0100000000002183,-0.00421986548764686
Up,-0.534528445335515,6.70212765957447,0.0100000000002183,-0.00421987052527806
Up,-0.498383676958891,18.5555555555556,4.47999999999956,-0.00421986548763487
