Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,Total Profit $
Up,-0.124367488,13.44307108,0.01,0.001557282,0
Down,-0.10000441,14.33133407,-0.01,0.001551039,0
Up,-0.093440136,14.36300592,0.01,0.001544799,0
Down,-0.091509944,14.3701293,-0.01,-0.001691288,0
Up,-0.071591214,15.06812622,0.01,-0.00169129,0
Down,-0.062499212,15.97693895,-0.01,-0.001691288,0
Up,-0.058520629,17.59665777,0.01,0.001560327,0
Down,-0.051465439,18.00764887,-0.01,0.000187528,0
Up,-0.042163055,18.88849238,0.01,7.11E-05,0
Down,-0.038441877,19.45160585,-0.01,0.000174598,0
Up,-0.027059664,21.31300591,0.01,0.000193998,0
Down,-0.025881813,21.77068669,-0.01,0.000187531,0
Up,-0.021646706,21.82901739,0.01,0.00019783,0
Down,-0.016819347,22.24622866,-0.01,0.00019783,0
Up,-0.008378609,23.2604212,0.01,0.00019783,0
Down,-0.008816405,24.38042609,-0.01,0.00019783,0
Up,-0.009848893,24.43525326,0.01,0.000193998,0
Down,-0.066313736,22.31931784,-0.01,-3.24E-06,0
Up,-0.09178305,20.2138238,0.01,0.000100596,0
Down,-0.0969953,19.52169017,-0.01,9.38E-05,0
Up,-0.118179065,16.5511497,0.01,-4.10E-11,0
Down,-0.170342109,12.96311806,-0.01,-4.10E-11,0
Up,-0.216582158,9.892640986,0.01,-4.10E-11,0
Down,-0.228279927,9.837656678,-0.01,-3.62E-06,0
Up,-0.244517586,9.770967956,0.01,3.62E-06,0
Down,-0.251506741,9.749352552,-0.01,-4.10E-11,0
Down,-0.258446525,9.618091159,-0.01,3.62E-06,0
Down,-0.274816534,9.303796671,-0.99,3.62E-06,0
Down,-0.286839601,9.248193407,-3.45,0.000348226,0
Down,-0.292100352,9.171619595,-10.54,0.001553196,0
Down,-0.302339455,8.815372398,-0.01,0.005221493,0
Down,-0.303578325,8.710020086,-4.91,0.005228462,0
Down,-0.305320659,8.528193143,-1.4,0.006937094,0
Down,-0.308001473,8.385180584,-3.68,0.007428973,0
Down,-0.312676994,7.526037385,-5.12,0.00839022,0
Up,-0.293838718,6.188830636,0.01,0.01049988,0
Down,-0.229616589,6.093928298,-0.01,0.010916244,0
Up,-0.15660091,6.661286747,0.36,0.010916253,0
Up,-0.151156357,6.668065136,6.68,0.010789143,0
Up,-0.14560324,6.674830425,0.03,0.008041745,0
Up,-0.144264152,6.681661309,3.04,0.008027794,0
Up,-0.144492103,6.686045092,14.39,0.006970457,0
Up,-0.160938028,6.625757022,0.41,0.001878161,0
Down,-0.211122693,5.55299095,-0.01,0.001737253,0
Up,-0.216715606,5.232750109,0.01,0.001807554,0
Down,-0.352589991,0.830980627,-0.01,0.001807553,0
Down,-0.406820225,0.665631557,-4.65,0.001883478,0
Down,-0.409903697,0.658669507,-5.35,0.003716972,0
Down,-0.411799799,0.630109751,-4.78,0.005733261,0
Down,-0.412179612,0.624205132,-0.01,0.00754275,0
Up,-0.410817838,0.598512428,0.01,0.007542756,0
Down,-0.381710563,0.591015625,-0.01,0.007535205,0
Up,-0.383702337,0.591060216,0.01,0.002057606,0
Down,-0.396715199,0.56870377,-13.17,0.002049362,0
Up,-0.398191841,0.565530305,13.17,0.005455758,0
Down,-0.400130236,0.566146488,-0.01,-0.000557735,0
Down,-0.452820998,0.046390353,-0.99,-0.002071005,0
Down,-0.505075968,-0.245920325,-0.18,-0.003774703,0
Down,-0.54601776,-0.870632351,-0.01,-0.003539594,0
Down,-0.533768213,-0.857880054,-0.09,-0.003531703,0
Down,-0.531378705,-0.856909235,-3.37,-0.003500154,0
Up,-0.457751131,-0.235781697,3.01,-0.002080547,0
Up,-0.454132179,-0.230549812,6.63,-0.00057977,0
Down,-0.451996975,-0.228332297,-0.01,-0.003061652,0
Up,-0.446503735,-0.227525299,8.95,-0.003046533,0
Down,-0.440687304,-0.223977657,-0.96,-0.006170368,0
Down,-0.436806873,-0.222083321,-3.28,-0.004719257,0
Up,-0.433620296,-0.219962886,2.76,0.001690228,0
Up,-0.430080947,-0.216784177,1.52,0.000663219,0
Down,-0.429338697,-0.215524196,-0.23,0.000128608,0
Down,-0.427644659,-0.213803857,-0.77,0.00034333,0
Down,-0.425899701,-0.213202846,-0.89,0.000598324,0
Down,-0.423169261,-0.203331792,-7.09,0.000686481,0
Up,-0.408990768,-0.178756489,0.01,0.002736528,0
Up,-0.375232029,-0.072838141,0.07,0.002853409,0
Up,-0.362927248,-0.072838141,0.01,0.002830015,0
Up,-0.254330663,0.798954914,0.01,0.002830013,0
Down,-0.204555978,0.828305985,-0.01,0.001514293,0
Up,0.276034464,5.872966052,0.01,-9.87E-05,0
Down,0.381448395,13.27514398,-0.01,-0.001721503,0
Up,0.392437469,13.28039849,0.9,-0.006375188,0
Up,0.432388517,18.0825261,0.01,-0.002089071,0
Up,0.449133896,18.11155774,4,-0.002096046,0
Up,0.475623481,18.56792032,2.45,-0.003836086,0
Up,0.546099819,17.66900743,0.52,-0.004752813,0
Up,0.554577677,17.74258593,1.03,-0.004937503,0
Down,0.572695602,15.7119435,-0.01,-0.005327804,0
Up,0.575823933,15.09405166,0.01,-0.005127123,0
Down,0.58893662,12.576236,-0.01,-0.004947247,0
Up,0.59487506,12.61908221,0.02,-0.005247765,0
Down,0.600855602,12.91014629,-0.01,-0.003026885,0
Up,0.662752711,14.69212975,0.01,-0.003026887,0
Down,0.687454024,14.85076918,-0.01,-0.000360409,0
Up,0.736799744,14.42365073,0.99,-0.001499831,0
Up,0.73953816,14.40713676,0.01,-0.000882762,0
Down,0.763480344,14.41158706,-0.01,-0.000356581,0
Up,0.785402908,14.73235284,0.01,-0.000608275,0
Down,0.78730574,14.1582601,-0.01,-0.000591575,0
Up,0.794085255,13.93515694,0.01,-0.00154722,0
Down,0.793202064,13.91949848,-0.01,-0.000309037,0
Up,0.77760648,13.68502922,0.01,-0.000296146,0
Down,0.765710267,13.53744994,-0.01,-0.000366279,0
Up,0.727430775,12.34096658,0.01,-0.000675053,0
Down,0.721827005,12.3085947,-0.01,-0.00034408,0
Up,0.717328057,12.27824161,0.01,-0.000331296,0
Down,0.701626535,12.18758198,-0.01,-0.00053912,0
Up,0.665031159,12.18629131,0.01,-0.000773605,0
Down,0.652498498,12.1579629,-0.01,-0.00075409,0
Up,0.604297956,11.94863707,0.01,-0.000730626,0
Down,0.537174589,11.30921168,-0.01,-0.00251753,0
Up,0.469323539,7.771701065,0.01,-0.002512496,0
Down,0.435835266,5.927845132,-0.01,-0.002566146,0
Up,0.372400769,5.728166417,0.01,-0.002427438,0
Up,0.207579462,4.787734186,5,-0.002492346,0
Down,0.180103844,4.30844449,-5.01,-0.003846833,0
Up,0.170704859,4.208825034,0.32,-0.001413547,0
Up,0.160239701,4.165041719,4.69,-0.000810311,0
Down,0.149925477,4.164628285,-4.68,-0.001990607,0
Up,0.141900773,4.127163258,4.56,-0.000374871,0
Down,0.12642337,4.036319998,-0.01,-0.001668426,0
Up,0.099560068,3.94040943,0.09,-0.001662765,0
Up,-0.023294808,2.954456592,0.01,-0.001739766,0
Down,-0.059166474,2.696469238,-0.01,-0.001865996,0
Up,-0.214856704,0.949332769,0.01,-0.001553626,0
Down,-0.225374743,-0.357460198,-0.01,-0.001736372,0
Up,-0.242869595,-0.648663187,0.01,-0.001802206,0
Down,-0.242416139,-0.611624621,-0.01,-0.001958918,0
Up,-0.242571339,-0.608139602,0.01,-0.001873523,0
Down,-0.243587327,-0.598387699,-0.01,-0.00188107,0
Up,-0.23815742,-0.67169458,0.01,-0.001668709,0
Down,-0.236987177,-0.637195002,-0.01,-0.001736372,0
Up,-0.238005072,-0.638216678,0.01,-0.001802206,0
Down,-0.236516254,-0.639544717,-0.01,-0.00188107,0
Up,-0.214635383,-0.698881508,0.01,-0.001873523,0
Down,-0.205161828,-0.706386473,-0.01,-0.001958918,0
Down,-0.202851094,-0.707897777,-0.01,-0.001873523,0
Up,-0.202267596,-0.708609169,0.01,-0.001873525,0
Down,-0.201107582,-0.713266907,-0.01,-0.001873523,0
Down,-0.17041539,-0.766625963,-0.12,1.73E-05,0
Up,-0.170323755,-0.76826846,0.01,6.92E-05,0
Down,-0.170218583,-0.776293427,-0.01,-0.001860955,0
Down,-0.176689868,-0.795135949,-0.01,2.06E-05,0
Up,-0.191575771,-0.796470342,0.01,2.06E-05,0
Down,-0.194558693,-0.797064224,-0.01,5.35E-05,0
Up,-0.2092209,-0.791206366,0.01,5.51E-05,0
Down,-0.216325942,-0.76790803,-0.01,5.35E-05,0
Up,-0.238465666,-0.743657376,0.01,6.17E-05,0
Down,-0.254506365,-0.729745366,-0.01,6.04E-05,0
Up,-0.267602587,-0.698543579,0.01,6.04E-05,0
Down,-0.278504494,-0.697832548,-0.01,6.04E-05,0
Up,-0.294565391,-0.674989466,0.01,6.04E-05,0
Down,-0.309375524,-0.660191376,-0.01,6.04E-05,0
Up,-0.321299262,-0.657792537,0.01,6.04E-05,0
Down,-0.322344575,-0.65521618,-0.01,6.04E-05,0
Up,-0.330604684,-0.635804466,0.01,6.79E-05,0
Down,-0.333456891,-0.57917014,-0.01,5.89E-05,0
Up,-0.341544656,-0.58929898,0.01,6.67E-05,0
Down,-0.345321969,-0.578106769,-0.01,5.72E-05,0
Up,-0.355964038,-0.621799029,0.01,4.77E-06,0
Down,-0.342147843,-0.636950827,-0.01,-4.10E-11,0
Up,-0.337920405,-0.657949395,0.01,-4.10E-11,0
Down,-0.341373851,-0.693424761,-0.01,-4.10E-11,0
Up,-0.344778995,-0.696266067,0.01,-4.10E-11,0
Down,-0.347685638,-0.706817127,-0.01,-4.10E-11,0
Up,-0.34831617,-0.709752539,0.01,-4.10E-11,0
Down,-0.353192227,-0.72539101,-0.01,-4.77E-06,0
Up,-0.357567826,-0.748412065,0.01,-4.10E-11,0
Down,-0.382789727,-0.770952005,-0.01,-4.10E-11,0
Up,-0.393091648,-0.774145968,0.01,5.33E-06,0
Down,-0.398424707,-0.776240938,-0.01,-5.33E-06,0
Up,-0.42207725,-0.784070063,0.01,5.33E-06,0
Down,-0.432565694,-0.791572031,-0.01,-4.10E-11,0
Up,-0.439752337,-0.802141997,0.01,5.33E-06,0
Down,-0.45186416,-0.812475606,-0.01,-5.33E-06,0
Up,-0.46474157,-0.832726293,0.01,5.33E-06,0
Down,-0.479430372,-0.851764298,-0.01,-4.10E-11,0
Up,-0.486233223,-0.857779871,0.01,-4.10E-11,0
Down,-0.491973148,-0.863514519,-0.01,-4.10E-11,0
Up,-0.49530752,-0.872945629,0.01,-4.10E-11,0
Down,-0.500029139,-0.87901482,-0.01,-4.10E-11,0
Up,-0.502070219,-0.884043623,0.01,-4.10E-11,0
Down,-0.501490714,-0.874878063,-0.01,-4.10E-11,0
Up,-0.501761454,-0.875625711,0.01,-4.10E-11,0
Down,-0.501342998,-0.875702914,-0.01,-4.10E-11,0
Up,-0.493224912,-0.879190026,0.01,4.77E-06,0
Down,-0.487653451,-0.878446237,-0.01,-4.10E-11,0
Up,-0.484252541,-0.8797319,0.01,5.33E-06,0
Down,-0.477947643,-0.884821752,-0.01,-5.33E-06,0
Up,-0.464895261,-0.874118458,0.01,5.33E-06,0
Down,-0.46433249,-0.874225838,-0.03,-5.33E-06,0
Up,-0.460428686,-0.875289196,0.01,1.60E-05,0
Down,-0.436053108,-0.876075011,-0.01,5.33E-06,0
Up,-0.435599444,-0.876126969,0.01,1.60E-05,0
Down,-0.433096484,-0.876355167,-0.01,5.33E-06,0
Up,-0.428481986,-0.876313618,0.01,1.60E-05,0
Down,-0.426246915,-0.876339948,-0.01,5.33E-06,0
Up,-0.33913351,-0.722075843,0.01,1.60E-05,0
Down,-0.315333998,-0.652031385,-0.01,5.33E-06,0
Up,-0.302892215,-0.600696567,0.01,1.60E-05,0
Down,-0.297722314,-0.579159514,-0.01,5.33E-06,0
Up,-0.284205922,-0.522558037,0.01,1.60E-05,0
Down,-0.067204296,0.381297376,-0.01,1.01E-05,0
Up,-0.027957814,0.528013079,0.01,1.60E-05,0
Down,0.113481896,0.983039938,-0.01,1.01E-05,0
Up,0.120393485,1.002190979,0.01,1.13E-05,0
Up,0.132814723,2.465997226,1.49,5.33E-06,0
Up,0.154829552,12.34703754,8.7,-0.000782907,0
Down,0.181238985,25.43490267,-0.01,-0.005114935,0.034598345
Up,0.188267431,28.67051101,0.01,-0.005124999,0.034598345
Up,0.201469826,28.71069131,0.23,-0.005124995,0.034598345
Up,0.215107152,28.74987221,9.68,-0.004964758,0.034598345
Down,0.218720618,28.75613151,-0.01,-0.009577964,0.034598345
Up,0.227706913,28.96412683,0.01,-0.009568442,0.034598345
Down,0.230363893,30.22490567,-0.01,-0.009577964,0.034598345
Up,0.231650515,31.20652471,0.01,-0.009568442,0.034598345
Up,0.233283907,31.68137845,0.09,-0.009577964,0.034598345
Up,0.234287332,37.40335393,4.98,-0.009139735,0.034598345
Up,0.230565993,37.37121925,0.01,-0.011989551,0.034598345
Down,0.215275055,37.35818297,-0.01,-0.01084768,0.034598345
Up,0.173821103,37.25555081,0.01,-0.010847689,0.034598345
Down,0.168212961,37.23007659,-0.01,-0.01084768,0.034598345
Up,0.127796209,37.01892749,0.01,-0.010350497,0.034598345
Down,0.10871442,36.88675556,-0.01,-0.01084768,0.034598345
Up,-0.00092604,18.57414105,0.01,-0.010350497,0.034598345
Down,-0.031224962,-0.236744012,-0.01,-0.01084768,0.034598345
Up,-0.067825132,-0.378059422,0.01,-0.010847689,0.034598345
Down,-0.139457329,-0.256689387,-0.01,-0.010358719,0.034598345
Up,-0.152751215,-0.194454488,0.01,-0.010200973,0.034598345
Down,-0.207034273,0.031883992,-0.01,-0.006454827,0.034598345
Up,-0.249947426,0.087256444,0.01,-0.006454833,0.034598345
