Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 100 Trials,Total Profit $
Up,-0.61876,-0.890818858560794,10213.18,,
Up,-0.643308159138549,-0.863748837419029,0.0100000000002183,,0
Down,-0.721168931623848,-0.898090168353736,-3.19000000000051,,0
Down,-0.754411820914087,-0.914551657711883,-4.21999999999935,,0
Down,-0.817252419778712,-0.946183117018728,-1.18000000000029,,0
Down,-0.826384733704486,-0.953389529919086,-5.60000000000036,,0
Down,-0.838072524202322,-0.969623609123003,-9.45000000000073,,0
Up,-0.762793560981237,-1,6.31000000000131,,0
Down,-0.702328831124866,-1,-10.8600000000006,,0
Down,-0.553414938403633,-1,-5,,0
Up,-0.157233622513283,29.3333333333333,0.0100000000002183,,0
Up,0.191777397333037,29.3333333333333,9.94999999999891,,0
Down,0.226240304285463,29.3333333333333,-0.00999999999839929,,0
Up,0.240868639893761,29.3333333333333,12.2299999999996,,0
Down,-0.150160997138322,29.3333333333333,-2.18000000000029,,0
Up,-0.417195648393642,-1,2.15999999999985,,0
Down,-0.453594956728931,-1,-6.36999999999898,,0
Up,-0.580452178512053,-1,2.6299999999992,,0
Down,-0.660483469356023,-1,-2.6299999999992,,0
Down,-0.759632276437631,-1,-6.07000000000153,,0
Down,-0.738506170159429,-1,-0.0100000000002183,,0
Down,-0.728491064511407,-1,-11.5999999999985,,0
Up,-0.356652089210537,-1,0.0100000000002183,,0
Down,-0.219320341388341,-1,-0.0100000000002183,,0
Up,-0.540186287642487,-1,0.0100000000002183,,0
Down,-0.573456978796448,-1,-0.0100000000002183,,0
Up,-0.358339635368385,0.4,17.6899999999987,,0
Down,-0.33367280721595,0.4,-0.00999999999839929,,0
Up,-0.3407939635052,0.4,0.00999999999839929,,0
Down,-0.560241091013818,-1,-0.00999999999839929,,0
Down,-0.683668002675005,-1,-2.14000000000124,,0
Down,-0.704577275102719,-1,-7.44000000000051,,0
Down,-0.70880843011615,-1,-7.21999999999935,,0
Up,-0.577290785048111,-1,0.0200000000004366,,0
Up,-0.544280488881641,-1,0.0100000000002183,,0
Down,-0.018908248737601,-1,-0.0100000000002183,,0
Up,0.692663941839715,-1,0.0100000000002183,,0
Down,1.02162615073727,-1,-0.0100000000002183,,0
Up,1.01600038211272,-1,0.0100000000002183,,0
Down,1.22466597265731,-1,-0.0100000000002183,,0
Up,0.899489066311631,-1,0.0100000000002183,,0
Up,1.2157817993996,-1,5.97999999999956,,0
Up,1.14613514883706,-1,4.95000000000073,,0
Up,0.925978505678078,-1,2.02999999999884,,0
Up,0.824494873472402,-1,3.30000000000109,,0
Up,0.703976120682344,-1,1.75,,0
Down,-0.0284256824568106,-1,-5.01000000000022,,0
Up,-0.312826301188818,-1,0.0100000000002183,,0
Down,-0.435080817441349,-1,-0.0100000000002183,,0
Up,-0.415116627058867,-1,0.0100000000002183,,0
Down,-0.166904620049253,-1,-0.0100000000002183,,0
Up,0.108881874039064,-1,0.0100000000002183,0.00413500924936994,0
Down,0.18429312162249,-1,-0.0100000000002183,0.0041350051837723,0
Up,0.275899967934591,-1,0.0100000000002183,0.00351228510538726,0
Down,0.278243392951925,-1,-0.0100000000002183,0.00268368223736526,0
Up,0.360145808774212,-1,5.02000000000044,0.0024544030428173,0
Down,0.266433729181958,1.2258064516129,-0.0100000000002183,0.000371774388889579,0
Up,0.119495348004024,4.25,0.0100000000002183,-0.0014793871128016,0
Down,0.207364925724071,7.08333333333333,-0.0100000000002183,-0.000242824686498277,0
Up,0.368678802615036,9,0.0100000000002183,-0.00237113973931358,0
Up,0.416581915750723,9,2.95999999999913,-0.00335493712811052,0
Down,0.683561837513225,-1,-0.0100000000002183,-0.00393353312485001,0
Up,0.712292557798696,-1,0.460000000000946,-0.00197676090125509,0
Down,0.877360548793279,-1,-0.0100000000002183,-0.00206891978435642,0
Up,0.958427503216467,-1,0.0100000000002183,0.000333445233398511,0
Down,1.2481120065506,-1,-0.0100000000002183,-9.58751090791576E-05,0
Up,1.06425304028321,-1,0.0100000000002183,0.000329615000497885,0
Up,0.805195968186998,-1,1.52999999999884,-0.000921100864809343,0
Up,0.731190545851523,-1,11.2100000000009,-0.000705188420719427,0
Up,0.643764723383534,-1,4.29999999999927,-0.00341856720871547,0
Up,0.4350866975999,-1,2.20000000000073,-0.00545130310837094,0
Down,0.312815491263251,-1,-0.0100000000002183,-0.00588390000897165,0
Up,0.250313458161488,-1,0.0100000000002183,-0.00815874970254016,0
Up,0.226908185344378,-1,4.53999999999905,-0.00815874170961828,0
Down,-0.0485849008605719,-0.947841726618705,-0.0100000000002183,-0.00904918767079965,0
Up,-0.0225730742242413,-0.977736549165121,0.0100000000002183,-0.00904526653191073,0
Down,-0.197840583216366,-1,-0.0100000000002183,-0.00904918767078255,0
Up,-0.289074673410099,-1,0.0100000000002183,-0.00557114412606396,0
Down,-0.341055574551005,-0.807780320366133,-0.0100000000002183,-0.0055750618575332,0
Up,-0.455181933033234,-1,0.0100000000002183,-0.00557114412605331,0
Down,-0.568566178973683,-1,-0.0100000000002183,-0.00557506185752255,0
Up,-0.646158874098868,-1,0.0100000000002183,-0.00599288682572552,0
Down,-0.657920498905564,-1,-0.0100000000002183,-0.00745457524948145,0
Down,-0.676676431091641,-1,-7.42000000000007,-0.00887022192988063,0
Down,-0.656974846950488,-1,-7.7599999999984,-0.00741483680136668,0
Down,-0.629963109461964,-1,-18.130000000001,-0.00589380533840078,0
Up,-0.614361775252294,-1,15.6800000000003,-0.00234401603245882,0
Down,-0.601416876299139,-1,-2.29000000000087,-0.0054193033834955,0
Down,-0.0610736600384622,-1,-7.34000000000015,-0.00497253851591917,0
Up,-0.308442728124349,-1,0.0100000000002183,-0.00353196447453574,0
Down,-0.316201201508353,-1,-0.0100000000002183,-0.00353589066910476,0
Up,-0.401508229900047,-1,0.0100000000002183,-0.00353196447452908,0
Down,-0.407280022106749,-1,-0.0100000000002183,-0.00235896008049541,0
Up,-0.33184073651453,-1,3.04000000000087,-0.00138498104049156,0
Down,-0.318780922108389,-1,-0.309999999999491,-0.00158280539139333,0
Up,-0.315421949288436,-1,5.75,-0.000874453087934546,0
Up,-0.445282580148806,-1,11.4799999999996,-0.00165864222153966,0
Down,-0.640726397385044,-1,-1.68000000000029,-0.00489106179330889,0
Up,-0.704601860021334,-1,0.649999999999636,-0.00456023324010912,0
Up,-0.701192210779425,-1,0.220000000001164,-0.00468945639545271,0
Down,-0.703516704302282,-1,-0.0100000000002183,-0.00473056423426388,0
Up,-0.744540434936168,-1,0.0100000000002183,-0.00473056885956713,0
