Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 100 Trials,Total Profit $
Up,0.265797311438461,,9830.65,,
Up,0.253522613804489,,0.0100000000002183,,0
Up,0.470006605431544,9.47368421052632,0.340000000000146,,0
Up,0.497552609224071,4.18440988835726,9,,0
Up,0.34211649058097,9.24857379462643,7.1299999999992,,0
Down,0.218741462479218,6.4721588109746,-0.00999999999839929,,0
Up,0.17307865079388,5.72494292987714,0.00999999999839929,,0
Down,0.116344023709802,4.84777646076273,-0.0199999999986176,,0
Down,0.0960847447629459,4.60411910823095,-0.0100000000002183,,0
Up,0.076903434297702,4.37995434390171,0.0100000000002183,,0
Down,-0.178563802822878,2.127880432501,-4.46000000000095,,0
Down,-0.277441233027219,1.35962909820251,-9.19000000000051,,0
Down,-0.286455683498082,1.35962909820251,-4.79999999999927,,0
Down,-0.283676846713038,1.35962909820251,-8.65999999999985,,0
Up,-0.279374320581057,1.35962909820251,8.54000000000087,,0
Down,-0.215915580704635,1.35962909820251,-4.73000000000138,,0
Down,-0.181216155155396,1.35962909820251,-2.70999999999913,,0
Up,-0.19910699025663,-1,9.89999999999964,,0
Down,-0.215634341069129,-1,-0.600000000000364,,0
Down,-0.21515263244307,-1,-0.260000000000218,,0
Up,-0.158203451230668,1.70643939393939,6.27000000000044,,0
Up,-0.132859046170903,1.95614035087719,2.54999999999927,,0
Up,-0.118864705894606,0.96561004784689,1.06000000000131,,0
Up,-0.1136181711094,-0.342083333333333,0.840000000000146,,0
Up,-0.0890260625340978,-0.0333333333333334,6.14999999999964,,0
Down,-0.348561154249102,0.133380371615333,-0.0100000000002183,,0
Up,-0.492525808633173,1.39244528619529,0.0100000000002183,,0
Up,-0.510162812730131,3.63502134439634,0.149999999999636,,0
Down,-0.517851477999024,4.42534872534873,-0.0100000000002183,,0
Up,-0.522050031042799,4.48066378066378,0.0200000000004366,,0
Down,-0.484635711423123,16.6137566137566,-0.0100000000002183,,0
Up,-0.466003420143819,20.7857142857143,0.0499999999992724,,0
Down,-0.403955896613953,27.249433106576,-0.00999999999839929,,0
Up,-0.415725657953838,2.5827664399093,0.00999999999839929,,0
Up,-0.418627367905631,0.757369614512472,0.460000000000946,,0
Down,-0.43665120247329,-1,-0.0100000000002183,,0
Down,-0.438238768969792,-1,-7.36000000000058,,0
Up,-0.439887440843688,-1,0.0100000000002183,,0
Down,-0.464830703384275,-1,-0.0100000000002183,,0
Down,-0.475248557670491,-1,-3.86999999999898,,0
Down,-0.457324799242387,-1,-6.29000000000087,,0
Down,-0.433112199266866,-1,-0.0100000000002183,,0
Up,-0.431434053266937,-1,0.0100000000002183,,0
Down,-0.477303064531869,-1,-1.82999999999993,,0
Down,-0.475273927073189,-1,-19.3500000000004,,0
Up,-0.445846255362673,-1,4.08000000000175,,0
Down,-0.433242808620348,-1,-0.0100000000002183,,0
Down,-0.427020475537832,-1,-10.5200000000004,,0
Up,-0.346855667632388,1.09968325627116,0.0100000000002183,,0
Down,-0.326212934071707,0.163952087061315,-0.0100000000002183,,0
Up,-0.295800478716999,0.237010859088865,0.0100000000002183,,0
Down,-0.264451174299876,0.113722084367246,-0.0100000000002183,0.00571833419972712,0
Down,-0.2585514038085,0.0438357058900353,-0.510000000000218,0.00572240894487686,0
Down,-0.253436706622242,0.62085308056872,-1,0.00589563527431358,0
Down,-0.251261277941547,0.62085308056872,-13.0100000000002,0.00793061820176377,0
Down,-0.24926356800289,-0.18957345971564,-0.389999999999418,0.012034636333313,0
Up,-0.248088264442371,-1,0.0100000000002183,0.0121122947816992,0
Down,-0.247238603287575,-1,-1.18000000000029,0.0121122824305466,0
Up,-0.240608856689424,-1,0.0100000000002183,0.0123493415058504,0
Down,-0.269225306308726,-1,-0.0100000000002183,0.0123452668069337,0
Up,-0.302983857274753,-1,0.0100000000002183,0.0123493415058247,0
Down,-0.325762711796142,-1,-0.0100000000002183,0.0114414483261556,0
Up,-0.330347276294488,-1,0.0100000000002183,0.00957610869437264,0
Up,-0.36634037086745,-0.154166666666667,6.55999999999949,0.00859780643731578,0
Up,-0.385561222390608,0.408695652173913,1.89999999999964,0.00549498251015534,0
Up,-0.405813478682323,59,0.329999999999927,0.00684625777785031,0
Up,-0.393191176314986,59,3.03000000000065,0.00581637269515745,0
Up,-0.383847327316232,59,3.82999999999993,0.00464598345259293,0
Up,-0.364635173011309,59,0.969999999999345,0.005880279441832,0
Up,-0.351687688046269,0.365079365079365,2.45000000000073,0.00556029960460891,0
Up,-0.32745358458901,6.91304347826087,7.86999999999898,0.00500755854290769,0
Down,-0.347258897554769,-1,-0.00999999999839929,0.00467800712586963,0
Up,-0.365155957164867,-1,4.14999999999964,0.00632092289104236,0
Up,-0.374386392676888,-1,0.0100000000002183,0.00564548566193857,0
Down,-0.397225168303944,-1,-0.0100000000002183,0.00689333832534933,0
Down,-0.442475367566692,-1,-8.03999999999905,0.00689334534804953,0
Down,-0.480326154431052,-1,-0.0300000000006548,0.00853400735143972,0
Down,-0.509953887243455,-1,-1.59000000000015,0.00857059276046801,0
Down,-0.538278353396015,-1,-0.0100000000002183,0.0088928860423394,0
Down,-0.549281015263649,-1,-0.0100000000002183,0.0088989882378232,0
Down,-0.552766388873446,-1,-8.38999999999942,0.00889899730596677,0
Up,-0.551149381923725,-1,0.0100000000002183,0.0106208053240457,0
Down,-0.539966475176498,-1,-0.110000000000582,0.0106167324338149,0
Down,-0.54210433503946,-1,-0.0100000000002183,0.0106412238840861,0
Down,-0.542191968442174,-1,-4.8799999999992,0.0107366932414665,0
Down,-0.512492512499186,-1,-0.0100000000002183,0.0117311002427567,0
Up,-0.480171076883943,-1,0.0100000000002183,0.0102383717948935,0
Down,-0.484214706300899,-1,-0.0100000000002183,0.0102383613523338,0
Down,-0.496322443002232,-1,-1.07999999999993,0.0102383717948717,0
Down,-0.499108078692156,-1,-2.47999999999956,0.00967244370883313,0
Down,-0.499279047223801,-1,-0.260000000000218,0.00890021975104394,0
Down,-0.504107699831037,-1,-1.17000000000007,0.00895131993765208,0
Down,-0.574816769133135,-1,-1.39999999999964,0.00919246720666234,0
Down,-0.582765111598385,-1,-13.6100000000006,0.009106294887542,0
Up,-0.583550113493328,-0.803162055335968,0.0100000000002183,0.00795089426667572,0
Down,-0.588786305827664,-0.933638443935927,-0.0100000000002183,0.00878073965758941,0
Up,-0.602509567278564,-1,0.0100000000002183,0.00878074863400102,0
Down,-0.616481127547047,-1,-0.0100000000002183,0.00663461353750416,0
Up,-0.633903329489076,-1,0.0100000000002183,0.00663870091207719,0
Down,-0.631902719131711,-0.833600288311376,-0.0100000000002183,0.0066346135374904,0
Up,-0.61800690696071,-0.644641382564586,0.0100000000002183,0.00663870091206342,0
Up,-0.222117982637162,1.26530612244898,2.95999999999913,0.00663461353747663,0
Down,-0.191605480581976,-1,-11.369999999999,0.00592462263541127,0
Up,-0.257416467879849,-1,0.989999999999782,0.0080474085726403,0
Down,-0.301923109709492,-1,-0.979999999999563,0.0051897418322393,0
Down,-0.316647816454938,-1,-2.27000000000044,0.00531081873019623,0
Up,-0.334771520949637,-1,0.0100000000002183,0.0057779493461485,0
Down,-0.35828728845733,-1,-0.0100000000002183,0.00553477885465514,0
Down,-0.411685327378365,-1,-1.34000000000015,0.00553887181761525,0
Down,-0.450705258751758,-1,-0.770000000000437,0.00581143690733987,0
Up,-0.485553053036521,-1,0.0100000000002183,0.005971299778742,0
