Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 100 Trials,Total Profit $
Up,-0.153660498793242,-0.505434782608696,9608.58,,
Up,-0.0775779979066531,-0.505434782608696,0.0100000000002183,,0
Down,-0.152762011607921,0.00864624505928846,-3.59000000000015,,0
Up,-0.00890320462915898,5.40691699604743,5.54000000000087,,0
Down,0.243210817169069,5.40691699604743,-0.0100000000002183,,0
Up,0.523886108018326,5.40691699604743,10.1099999999988,,0
Up,0.18486501617611,3.85434277385386,1.82999999999993,,0
Up,-0.0108668835711918,2.19275148920395,0.0100000000002183,,0
Down,-0.0539667113077515,1.13234927264709,-2.47999999999956,,0
Down,-0.201978025364619,1.4040173246363,-7.54999999999927,,0
Up,-0.177708094909399,0.600310991068508,7.03999999999905,,0
Down,-0.175669128318509,0.901642456508577,-0.0100000000002183,,0
Up,-0.22016705524503,-0.174820249443126,0.0100000000002183,,0
Up,-0.322684752226585,-0.742745202593262,0.639999999999418,,0
Down,-0.56950236057769,-0.604649586049956,-0.6299999999992,,0
Down,-0.50463056276057,-0.938454425839476,-0.0200000000004366,,0
Down,-0.522547105047621,-0.963409051782183,-0.969999999999345,,0
Up,-0.530039626723865,-0.972824636197767,0.0100000000002183,,0
Down,-0.64802405338342,-1,-0.0100000000002183,,0
Down,-0.690434290679747,-0.999713958810069,-6.07999999999993,,0
Down,-0.69491644386914,-0.999629126777493,-10.3099999999995,,0
Up,-0.699256890110783,-0.990257946664823,0.00999999999839929,,0
Down,-0.744352259680365,-0.920525224992924,-2.1299999999992,,0
Down,-0.713586209951653,-0.864358281471329,-17.5400000000009,,0
Down,-0.629558378997299,-0.557896886653565,-0.00999999999839929,,0
Down,-0.616871823040507,-0.587625484180602,-0.730000000001382,,0
Down,-0.612851711586096,-0.594419435259383,-1.22999999999956,,0
Down,-0.602808283645334,-0.605610944741718,-0.449999999998909,,0
Up,-0.556868107094885,-0.924883200608512,0.00999999999839929,,0
Down,-0.553604042242373,-0.925983393721748,-0.00999999999839929,,0
Down,-0.551884400688413,-0.900761785574736,-0.0100000000002183,,0
Up,-0.552963252943489,-0.750922881508671,0.0100000000002183,,0
Up,-0.52888603933628,-0.208597276451004,2.41999999999825,,0
Up,-0.48868481932204,0.506568994272877,0.31000000000131,,0
Up,-0.350854045435947,0.919888880258373,5.02999999999884,,0
Up,-0.20430406229841,7.17800209894088,0.200000000000728,,0
